simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
AVGO,332.6,-5.43,31214800,61.053435442538614,178.0,334.42,9,8,25894270.65,1.31,0.37,-5.57,1.02,112.07,3.53,84.68,9.43,5.89,61.41,27.59,32.3,,-0.05587,-0.05729,0.6595,0.06152,0.03542,6,0.6948867183146636,0.8931479393711638,0.37,-5.0,88.59,27.59,45.16,2026-01-21
ORCL,179.92,-5.85,19077400,30.575218257735102,139.39,189.7,9,7,11796721.683,0.85,2.43,-12.1,-5.05,62.55,3.68,93.21,0.0,6.79,48.15,7.8,10.48,,-0.06023,-0.12894,0.21041,0.03788,0.02642,4,0.3103618976609812,0.9999999999999999,2.43,-5.0,98.15,7.8,43.61,2026-01-21
MSFT,454.52,-1.16,33795700,17.15308598830723,386.91,459.5,9,8,23509407.183,0.62,0.24,-4.75,-3.79,37.78,1.81,41.09,30.32,28.59,45.12,4.87,10.23,,-0.01168,-0.04865,0.15161,0.02328,0.01146,6,0.1410231541118634,0.34711261430539897,0.24,-4.75,95.12,4.87,42.01,2026-01-21
AAPL,246.7,-3.46,72018600,24.871217724723454,199.53,256.2,9,7,58692767.9,0.89,0.59,-5.21,-2.94,90.8,1.95,51.1,20.05,28.85,51.27,9.46,12.36,,-0.03517,-0.05347,0.0972,0.05147,0.01455,8,0.23839804988518642,0.4725040711511963,0.59,-5.0,98.72999999999999,9.46,41.21,2026-01-21
JPM,302.74,-3.11,14637600,23.611350210745098,243.13,308.22,8,8,10704257.467,0.95,0.44,-6.7,-3.39,61.34,2.23,37.35,53.18,9.47,50.98,10.68,15.27,,-0.03163,-0.06938,0.19896,0.03629,0.02287,3,0.22250308047400064,0.30026305900037586,0.44,-5.0,99.02000000000001,10.68,40.93,2026-01-21
BAC,52.1,-1.64,52041900,27.872409677769355,39.66,52.51,8,8,46154761.8,1.04,0.1,-5.6,-2.45,69.14,2.08,14.18,76.59,9.23,54.12,2.11,2.93,,-0.01656,-0.05762,0.20225,0.04075,0.01795,8,0.2762622330326066,0.010021295252411355,0.1,-5.0,95.88,2.11,39.2,2026-01-21
NIO,4.56,-3.18,28700300,19.92797118847539,3.75,4.58,7,8,44272825.55,0.81,0.06,-5.98,-2.83,88.69,4.23,18.75,25.0,56.25,50.42,0.12,0.18,,-0.03237,-0.06166,0.13604,0.05143,0.02628,7,0.17603216489026402,0.06726794438181136,0.06,-5.0,99.58,0.12,37.32,2026-01-21
AMZN,231.0,-3.4,45824700,21.689140939766258,186.02,231.27,6,8,48553502.817,1.15,-0.06,-6.28,-0.5,55.6,2.39,46.35,24.78,28.87,54.49,8.99,10.66,,-0.03455,-0.06482,0.13732,0.03427,0.01787,8,0.1982517546598871,0.41300263059000375,0.0,-5.0,95.50999999999999,8.99,35.81,2026-01-21
NVDA,178.07,-4.38,187613900,50.54123973319662,109.51,183.57,5,8,237507402.383,1.25,-0.16,-3.71,-0.36,101.94,2.43,80.49,10.06,9.46,61.06,12.6,15.2,,-0.04481,-0.03785,0.46878,0.057,0.02459,9,0.5622608450458496,0.8406614054866591,0.0,-3.71,88.94,12.6,35.58,2026-01-21
UBER,83.72,-1.33,20692100,14.101503059292146,74.33,85.61,5,7,19837797.817,0.41,-0.05,-1.12,-0.81,49.18,2.84,45.21,6.16,48.63,48.04,0.23,0.46,,-0.01341,-0.01128,0.11186,0.03079,0.00937,5,0.10252321917884417,0.3987222848553176,0.0,-1.12,98.03999999999999,0.23,33.56,2026-01-21
WFC,86.66,-1.95,26959100,24.039480552348095,69.53,88.52,3,8,17377204.75,0.87,-0.35,-8.74,-4.24,69.74,2.23,25.53,58.3,16.17,49.17,3.19,4.7,,-0.01965,-0.09146,0.18144,0.0406,0.0174,5,0.2279045362685796,0.15219842164599776,0.0,-5.0,99.17,3.19,29.7,2026-01-21
KHC,23.76,0.98,14769900,18.538855281526278,24.37,29.35,9,0,11598544.433,-1.45,1.43,1.58,-1.92,35.44,2.11,48.65,23.65,27.7,37.61,-0.92,-1.08,,0.00973,0.01569,-0.23552,0.02285,0.02299,4,0.15850654842300183,0.44181385444068644,1.43,1.58,87.61,-0.92,28.36,2026-01-21
META,604.12,-2.6,16869800,15.793705288236188,548.57,642.64,5,5,16209283.4,0.14,-0.15,-5.9,-6.23,52.91,2.17,33.01,30.9,36.08,38.64,0.09,8.19,,-0.02635,-0.06077,0.00255,0.03278,0.01538,4,0.12387268836363975,0.24589753225604408,0.0,-5.0,88.64,0.09,26.85,2026-01-21
TSLA,419.25,-4.17,60047300,47.39703104224075,266.35,431.8,0,8,106855239.867,1.07,-1.05,-6.62,-3.45,105.58,3.12,75.99,10.39,13.62,54.37,24.36,31.7,,-0.04261,-0.06847,0.42852,0.06074,0.01752,9,0.5225923081476226,0.7842916196918451,0.0,-5.0,95.63,24.36,26.78,2026-01-21
HOOD,105.78,-2.72,30161200,85.2373329848747,43.91,109.14,0,8,37804259.617,1.18,-0.79,-9.99,-2.78,191.6,4.58,21.39,66.24,12.37,57.54,11.37,14.38,,-0.0276,-0.10525,0.8774,0.09338,0.03835,7,1.0000000000000002,0.10033821871476892,0.0,-5.0,92.46000000000001,11.37,25.8,2026-01-21
PLTR,168.53,-1.42,59228600,57.5861426081654,93.51,169.14,0,8,84202772.483,1.13,-1.15,-6.06,-1.54,138.85,4.15,15.79,60.04,24.17,56.61,11.57,14.56,,-0.01432,-0.06256,0.6263,0.07472,0.01349,9,0.6511420285512505,0.030189151947889237,0.0,-5.0,93.39,11.57,24.85,2026-01-21
SMCI,31.41,-3.77,78797000,15.740984469597267,30.62,35.86,4,2,45358448.25,-0.59,-0.23,4.28,-1.44,104.98,4.52,13.38,21.07,65.55,46.66,-1.54,-1.65,bullish,-0.03841,0.04194,-0.10019,0.06807,0.06387,7,0.12320754239368602,0.0,0.0,4.28,96.66,-1.54,23.43,2026-01-21
