simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
PLTR,147.22,1.41,72288708,26.71703785689238,129.89,169.94,8,4,56750523.367,-0.1,0.38,14.27,7.47,129.83,4.2,55.05,3.01,41.94,54.76,-3.31,-5.39,,0.01402,0.13336,0.21154,0.06829,0.02088,9,0.39878688234454057,0.6563809523809524,0.38,5.0,95.24000000000001,-3.31,37.83,2026-03-04
CRM,196.05,1.61,9911388,31.05714564495741,194.6,266.15,8,1,10194469.2,-1.02,0.55,5.73,3.02,41.02,4.28,58.37,28.74,12.89,45.0,-8.43,-11.93,,0.01594,0.05575,-0.35549,0.02617,0.02725,3,0.4740816316128609,0.6985396825396826,0.55,5.0,95.0,-8.43,30.81,2026-03-04
KHC,24.22,-1.18,16066941,5.028536171525529,23.7,24.92,7,4,14827240.767,-0.35,0.11,-2.26,-0.93,35.5,2.9,25.93,35.19,38.89,47.88,0.05,0.03,,-0.0119,-0.02286,-0.16237,0.02298,0.00592,5,0.022521965400322905,0.2866031746031746,0.11,-2.26,97.88,0.05,30.78,2026-03-04
BAC,49.97,0.32,40517588,10.25824110436748,49.82,55.21,9,1,38418774.283,-0.3,1.02,-0.87,-5.63,62.07,3.21,60.26,26.79,12.95,39.4,-0.67,-0.19,,0.00321,-0.00877,0.18332,0.03555,0.02785,7,0.11324997053154774,0.7225396825396826,1.02,-0.87,89.4,-0.67,30.22,2026-03-04
NIO,4.59,-2.75,51708773,8.967895993632252,4.5,4.92,8,2,40098565.217,-0.12,0.36,-13.4,-6.74,83.26,3.77,16.67,0.0,83.33,41.02,0.05,0.1,,-0.02793,-0.14383,0.14764,0.04763,0.0099,8,0.09086430263417793,0.16901587301587304,0.36,-5.0,91.02000000000001,0.05,27.29,2026-03-04
MSFT,403.93,1.35,32492755,15.118836089236968,404.26,470.38,8,0,31079806.667,-1.16,0.38,3.84,0.76,35.52,2.25,76.96,19.76,3.28,44.73,-11.59,-13.93,,0.01341,0.03766,-0.08137,0.02273,0.01933,7,0.1975744386212605,0.9346031746031745,0.38,3.84,94.72999999999999,-11.59,26.98,2026-03-04
UBER,76.36,0.54,18600998,12.900714630462895,75.11,85.46,6,1,20468797.183,-0.75,0.15,6.98,3.96,37.73,3.38,56.62,28.77,14.61,51.94,-1.33,-2.2,,0.00538,0.06744,-0.07491,0.02391,0.0094,5,0.15909315952852743,0.6763174603174603,0.15,5.0,98.06,-1.33,26.73,2026-03-04
INTC,43.1,-5.27,60453755,26.343570057581584,36.19,47.17,3,6,97433033.583,0.32,-0.31,-6.55,-7.54,176.45,4.67,16.18,21.68,62.14,43.97,0.2,0.84,,-0.05419,-0.06772,0.719,0.08768,0.0285,9,0.39230774272818675,0.1627936507936508,0.0,-5.0,93.97,0.2,25.94,2026-03-04
F,12.7,-5.15,103654684,5.639028009645704,13.1,13.86,9,0,67423309.183,-0.21,0.94,-10.56,-8.25,69.72,3.45,74.0,22.0,4.0,35.78,0.05,0.19,,-0.05291,-0.11164,0.2114,0.03935,0.03028,9,0.03311313781498504,0.897015873015873,0.94,-5.0,85.78,0.05,25.81,2026-03-04
META,655.08,0.23,9725792,3.7303346583212194,639.4,663.7,1,6,13985345.6,0.15,-0.46,2.47,-0.18,38.5,2.74,33.61,19.6,46.78,50.32,-1.91,-1.35,,0.00232,0.02438,0.09115,0.02371,0.01284,4,0.0,0.3841269841269841,0.0,2.47,99.68,-1.91,25.25,2026-03-04
