simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
AMD,220.27,7.26,26311636,9.759241499460135,201.05,221.68,9,8,36291409.65,0.31,0.81,10.43,9.68,63.36,3.51,89.21,10.79,0.0,61.03,-0.62,-3.19,,0.07004,0.09924,0.02426,0.0408,0.03299,7,0.1181745795686627,0.9519020550940096,0.81,5.0,88.97,-0.62,47.14,2026-03-27
INTC,47.18,7.08,64843657,7.463664436392838,44.05,47.46,5,8,104050538.25,0.46,-0.15,4.77,4.14,75.99,5.06,55.42,27.92,16.67,55.01,-0.15,-0.17,bullish,0.06842,0.04664,0.26491,0.04826,0.04338,9,0.07723844912585609,0.5825317009182336,0.0,4.77,94.99000000000001,-0.15,38.22,2026-03-27
TSM,347.75,1.31,9424187,7.487457898948338,330.23,355.92,3,6,13444074.05,0.23,-0.25,2.41,-0.25,38.28,2.93,25.18,38.85,35.97,50.45,-3.43,-2.53,,0.01302,0.0238,0.13828,0.02404,0.02144,4,0.0776627486636623,0.2519676432006996,0.0,2.41,99.55,-3.43,29.07,2026-03-27
JPM,295.42,1.03,7384438,5.323869704309222,296.83,313.07,9,0,10147409.417,-0.74,0.6,2.67,1.31,24.57,2.05,24.42,42.69,32.88,51.04,-3.79,-5.14,,0.01028,0.02634,-0.10434,0.01555,0.00707,3,0.03908032423312736,0.2436598163533013,0.6,2.67,98.96000000000001,-3.79,29.07,2026-03-27
MRK,118.93,-0.37,10217600,8.692230335359186,109.38,119.32,0,8,11032872.3,0.74,-0.79,4.14,1.49,23.51,1.9,2.13,78.01,19.86,56.83,-0.09,-0.22,bullish,-0.00369,0.04058,0.10926,0.0148,0.0116,3,0.0991469856358308,0.0,0.0,4.14,93.17,-0.09,26.94,2026-03-27
HIMS,20.86,0.1,19904644,59.20940170940171,16.47,30.33,5,3,32629137.633,-0.49,-0.22,-13.66,-0.6,116.44,10.07,23.33,30.0,46.67,47.33,0.3,0.28,,0.00096,-0.14686,-0.49146,0.06788,0.04433,6,0.9999999999999998,0.23174464363795366,0.0,-5.0,97.33,0.3,26.0,2026-03-27
WFC,80.26,0.82,18945792,11.863969005596221,81.94,92.28,6,0,16255264.383,-1.02,0.15,5.34,1.4,28.91,2.35,51.37,36.3,12.33,47.7,-2.24,-2.9,,0.00813,0.05204,-0.17134,0.01838,0.00588,5,0.1557073642980177,0.5382597289024924,0.15,5.0,97.7,-2.24,24.18,2026-03-27
SMCI,24.05,8.19,66050561,6.178260074194449,30.08,32.0,9,0,35932542.2,-2.47,0.94,-20.76,-18.95,97.99,6.47,87.65,8.64,3.7,36.58,-2.05,-1.0,,0.07869,-0.23266,-0.24217,0.06799,0.202,7,0.05431633446924903,0.9348491473546132,0.94,-5.0,86.58,-2.05,23.52,2026-03-27
V,305.53,0.2,6280100,4.76944540028865,313.81,329.14,6,0,7438624.033,-1.21,0.07,1.94,-1.6,23.34,1.79,28.13,48.05,23.82,40.75,-5.01,-5.24,bullish,0.00203,0.01923,-0.14897,0.01482,0.00437,3,0.029193491856555988,0.28421512898994317,0.07,1.94,90.75,-5.01,20.78,2026-03-27
PLTR,147.56,-4.78,37993457,18.257903557730497,139.53,167.57,3,3,49122803.067,-0.42,-0.34,-5.22,-2.96,54.83,3.93,93.61,1.11,5.28,46.61,1.64,1.54,,-0.04893,-0.05357,-0.22168,0.03496,0.04642,9,0.2697279053985644,1.0,0.0,-5.0,96.61,1.64,20.71,2026-03-27
WMT,123.06,0.83,17245866,7.118470816722885,117.94,126.64,0,5,30641899.783,0.15,-0.27,0.89,-1.0,26.0,2.09,14.62,25.15,60.23,48.33,-0.77,-0.29,,0.00824,0.00881,0.0965,0.01633,0.01346,6,0.07108274593898403,0.1365325754263227,0.0,0.89,98.33,-0.77,20.4,2026-03-27
