simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
LLY,1020.56,-1.5,2124848,31.27353193419899,776.32,1064.1,4,7,3623079.333,0.51,-0.2,-0.43,-2.2,113.08,3.63,44.99,19.75,35.26,48.99,7.79,14.98,,-0.01506,-0.00434,0.14304,0.06099,0.01447,3,0.35478686916593793,0.5277739866248123,0.0,-0.43,98.99000000000001,7.79,33.55,2026-02-19
AMD,200.12,-1.46,31722819,65.4522331610905,112.36,221.68,4,7,38404641.083,0.37,-0.19,-6.3,-12.18,195.06,6.24,18.9,37.56,43.54,43.09,-0.43,5.58,,-0.01468,-0.06505,0.72782,0.09161,0.01709,7,0.8482939608341753,0.17169373549883987,0.0,-5.0,93.09,-0.43,31.11,2026-02-19
META,643.22,0.61,12567006,6.702143589087401,620.66,663.7,5,5,15088990.883,0.09,-0.07,-4.1,-3.82,39.78,3.42,58.68,8.05,33.27,45.02,0.32,6.73,,0.00613,-0.04186,0.16154,0.0245,0.01378,5,0.0,0.7146171693735498,0.0,-4.1,95.02000000000001,0.32,28.11,2026-02-19
INTC,45.46,-1.56,63732329,75.95890160517752,21.2,47.17,0,8,97290894.55,0.76,-0.69,-3.54,-5.29,175.53,6.42,23.81,45.5,30.69,50.39,1.7,2.75,,-0.01571,-0.03608,0.8186,0.08702,0.02374,9,1.0,0.23870615531595463,0.0,-3.54,99.61,1.7,26.84,2026-02-19
AVGO,333.51,0.29,21312472,39.25465321516937,230.33,342.83,0,8,22198969.55,0.71,-1.24,-2.04,1.38,101.17,4.89,33.93,41.07,25.0,54.72,5.53,7.29,,0.00291,-0.02057,0.55056,0.05399,0.0223,6,0.47002647190789937,0.37682544015285924,0.0,-2.04,95.28,5.53,26.14,2026-02-19
GOOGL,303.33,0.43,38916684,66.33401382906104,165.08,328.93,1,7,37733541.9,0.52,-0.51,-4.79,-6.83,172.29,3.55,28.88,49.51,21.6,42.45,3.1,10.45,,0.00433,-0.04905,0.62747,0.08006,0.01032,7,0.8610260131743335,0.30790227924116276,0.0,-4.79,92.45,3.1,25.53,2026-02-19
AAPL,264.35,0.18,58081661,22.892345976538277,210.63,265.08,0,8,50486053.083,0.77,-1.0,-3.41,0.29,79.7,2.69,19.45,56.52,24.03,53.24,4.44,6.36,,0.00178,-0.03469,0.2336,0.04393,0.03137,8,0.2337707229046078,0.17920021837041078,0.0,-3.41,96.75999999999999,4.44,24.53,2026-02-19
AMZN,204.79,1.81,64506011,16.8861988206016,201.14,238.24,7,1,47151439.15,-0.62,0.1,-1.05,-8.65,43.1,3.4,50.09,38.69,11.22,34.48,-7.7,-3.89,,0.01793,-0.01054,0.08029,0.0264,0.01699,8,0.14704781920557386,0.597379555070288,0.1,-1.05,84.47999999999999,-7.7,23.67,2026-02-19
WFC,88.56,1.33,12282903,23.074162679425847,73.96,93.24,0,7,14826079.383,0.43,-1.66,-3.64,-1.35,63.3,3.27,42.29,48.0,9.71,48.27,0.21,0.98,,0.01319,-0.03713,0.23905,0.03596,0.02224,4,0.23639597866441867,0.490923979800737,0.0,-3.64,98.27000000000001,0.21,22.8,2026-02-19
BAC,53.36,1.18,35476387,22.861321757400617,43.89,55.21,0,7,36562564.483,0.6,-1.12,-3.66,-0.32,60.34,2.62,45.2,30.37,24.43,51.19,0.49,0.88,,0.01169,-0.03734,0.29596,0.03434,0.01797,7,0.2333227634559363,0.5306400982666848,0.0,-3.66,98.81,0.49,22.73,2026-02-19
JPM,308.78,0.54,8470235,18.96592736246923,262.52,317.52,0,7,9183070.683,0.54,-1.35,-2.98,0.21,54.26,2.68,6.32,69.17,24.51,51.16,1.78,3.28,,0.00536,-0.0303,0.23731,0.03139,0.01834,3,0.17707706980064877,0.0,0.0,-2.98,98.84,1.78,22.56,2026-02-19
BABA,155.77,0.22,6738078,27.116629833004808,125.29,164.59,0,7,12662859.283,0.43,-1.25,-6.45,-5.98,75.88,3.07,57.51,32.12,10.36,44.84,0.49,2.92,,0.00219,-0.06667,0.25856,0.04391,0.01463,4,0.2947652594303447,0.6986488330831171,0.0,-5.0,94.84,0.49,22.19,2026-02-19
KHC,23.95,0.71,20738587,15.303687107301148,23.7,27.63,6,1,14326474.117,-0.69,0.13,-3.82,0.22,35.68,3.13,21.71,27.14,51.14,46.58,-0.04,-0.13,,0.00712,-0.0389,-0.20808,0.02309,0.02572,4,0.12419789439487461,0.21004503889722942,0.13,-3.82,96.58,-0.04,21.77,2026-02-19
PLTR,135.38,1.77,47657431,31.44115041525496,123.77,169.94,4,3,65779305.417,-0.43,-0.2,-2.96,-8.15,133.17,6.5,8.37,83.26,8.37,41.08,-7.28,-5.42,,0.01759,-0.03005,0.18265,0.07097,0.03085,9,0.35720711645815206,0.027978708884946066,0.0,-2.96,91.08,-7.28,21.57,2026-02-19
TSLA,411.32,0.17,58990087,24.615103713070027,340.62,436.22,0,6,79770370.233,0.35,-1.14,-3.27,-2.76,85.53,3.87,8.88,76.23,14.89,47.13,0.04,2.88,,0.00168,-0.03321,0.36706,0.04798,0.01421,9,0.25864566342855644,0.03493926572949366,0.0,-3.27,97.13,0.04,20.54,2026-02-19
HOOD,75.21,-0.3,31619575,54.54492449419859,62.37,109.14,3,3,32943707.817,-0.36,-0.46,-12.14,-16.27,188.75,7.81,10.0,72.62,17.38,36.67,-6.38,-4.15,,-0.00305,-0.1294,0.41932,0.09152,0.06752,6,0.690803067824747,0.05022519448614711,0.0,-5.0,86.67,-6.38,19.29,2026-02-19
ORCL,156.17,1.43,19077737,20.456424707744514,154.5,189.7,4,1,18029948.583,-0.59,-0.28,-2.33,-3.42,60.68,5.25,29.76,19.06,51.18,43.72,-5.93,-5.94,bullish,0.01419,-0.02354,0.12015,0.03682,0.02492,5,0.19859839693133832,0.31991265183567624,0.0,-2.33,93.72,-5.93,17.94,2026-02-19
CRM,187.79,1.9,13675943,21.24779201953589,221.2,273.79,5,0,8582742.683,-1.71,0.03,-2.93,-8.34,37.74,4.82,62.41,5.43,32.17,28.33,-16.11,-16.27,bullish,0.01881,-0.02969,-0.3551,0.02418,0.02977,3,0.21002496864016015,0.7655247713934761,0.03,-2.93,78.33,-16.11,14.47,2026-02-19
MSFT,399.6,0.69,31844692,11.061161949006925,421.08,470.38,3,0,29390781.667,-1.49,-0.35,-3.31,-6.33,37.69,2.86,22.44,47.44,30.13,34.91,-15.74,-13.42,,0.00688,-0.03364,0.01958,0.02394,0.01074,6,0.06293997127192719,0.22000818889040535,0.0,-3.31,84.91,-15.74,10.18,2026-02-19
