simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
GOOGL,314.98,4.01,25614991,65.5961140942307,166.45,328.93,9,8,37617140.083,0.61,0.83,1.94,-2.64,172.29,3.29,84.6,12.06,3.33,53.25,1.86,7.38,,0.03927,0.01917,0.67634,0.0801,0.02093,7,0.8637456662674126,0.9937389249852334,0.83,1.94,96.75,1.86,48.64,2026-02-23
INTC,44.11,-1.14,72289933,75.12394284047828,21.41,47.17,5,8,95933140.1,0.6,-0.11,-5.1,-6.17,175.72,6.19,14.57,18.54,66.89,47.19,1.05,2.19,,-0.0115,-0.05234,0.7741,0.08713,0.00994,9,1.0000000000000002,0.16645008860011817,0.0,-5.0,97.19,1.05,35.89,2026-02-23
META,655.66,1.69,9972501,5.197148695736583,630.08,663.7,5,7,14953349.233,0.36,-0.1,0.9,-2.25,39.87,3.2,65.0,31.3,3.7,49.63,-0.84,3.93,,0.01673,0.00896,0.16768,0.02455,0.01173,5,0.0,0.7621972829297107,0.0,0.9,99.63,-0.84,34.73,2026-02-23
AMZN,210.11,2.56,34070278,15.568882458239477,203.83,238.24,9,2,47655142.117,-0.41,0.74,5.27,-5.21,43.34,3.26,72.1,14.29,13.61,41.42,-7.17,-5.14,,0.0253,0.05132,0.11444,0.02656,0.01216,8,0.14832274079424276,0.8460720614294154,0.74,5.0,91.42,-7.17,34.55,2026-02-23
AMD,200.15,-1.57,18182516,64.66980136704812,113.35,221.68,5,7,38328259.683,0.32,-0.12,-2.81,-10.19,195.09,5.59,0.48,74.8,24.72,43.46,-1.92,3.01,,-0.01586,-0.02852,0.73409,0.09164,0.01607,7,0.850498773734842,0.0,0.0,-2.81,93.46000000000001,-1.92,33.98,2026-02-23
WFC,88.7,1.29,7861739,21.215266451172862,75.36,93.24,4,6,14620181.7,0.39,-0.07,2.79,-1.31,63.25,3.32,52.14,0.39,47.47,48.98,-0.01,0.62,,0.01282,0.02755,0.22117,0.03592,0.00999,4,0.2290698143873195,0.6102776137034851,0.0,2.79,98.97999999999999,-0.01,32.2,2026-02-23
LLY,1009.52,-1.34,1537718,31.27353193419899,776.32,1064.1,4,7,3588557.967,0.4,-0.17,-2.77,-2.64,113.11,3.62,54.75,18.29,26.96,47.13,3.82,11.34,,-0.01348,-0.02808,0.13142,0.061,0.00829,3,0.37290974879367156,0.6411104548139399,0.0,-2.77,97.13,3.82,32.07,2026-02-23
AAPL,264.58,1.54,26687518,22.666436291196426,211.25,265.25,2,8,50348836.717,0.73,-0.49,1.09,-0.17,79.83,2.58,85.13,2.58,12.29,53.23,3.36,5.31,,0.01523,0.01083,0.22529,0.04402,0.0219,8,0.24982251523357568,1.0000000000000002,0.0,1.09,96.77000000000001,3.36,31.58,2026-02-23
JPM,310.79,0.89,6701823,18.20789990993807,264.53,317.52,2,7,9158231.067,0.56,-0.48,2.69,0.64,54.28,2.65,44.93,3.95,51.13,52.96,1.52,2.64,,0.00886,0.02657,0.23941,0.0314,0.00702,3,0.18606245822267348,0.5251033668044892,0.0,2.69,97.03999999999999,1.52,29.72,2026-02-23
BAC,53.06,0.55,40177874,22.010002261817995,44.26,55.21,2,7,36622642.383,0.5,-0.29,1.03,-1.01,60.43,2.69,42.06,2.38,55.56,49.68,0.31,0.68,,0.00548,0.01023,0.28279,0.0344,0.00841,7,0.2404350688704595,0.49119905493207333,0.0,1.03,99.68,0.31,29.23,2026-02-23
AVGO,332.65,-0.4,14042361,38.80155606160163,231.42,342.83,1,8,22099853.9,0.64,-0.63,0.45,0.92,101.15,4.77,2.75,70.85,26.4,54.09,5.0,6.53,,-0.00402,0.00446,0.55393,0.05398,0.01466,6,0.48056553681421715,0.02681630242173657,0.0,0.45,95.91,5.0,29.14,2026-02-23
SMCI,32.42,0.81,42086487,10.749313456257369,30.15,33.58,1,6,41413202.667,-0.2,-0.55,6.54,3.45,99.74,6.0,67.11,32.89,0.0,52.46,-0.21,-0.33,,0.00805,0.06335,-0.10474,0.0649,0.03852,8,0.0793996754524216,0.7871234494979328,0.0,5.0,97.53999999999999,-0.21,27.06,2026-02-23
HOOD,76.11,0.61,20395532,52.60082161661749,63.69,109.14,4,3,32625800.017,-0.37,-0.15,7.02,-12.32,188.7,7.24,30.85,66.78,2.37,37.85,-6.29,-4.94,,0.00606,0.06781,0.43284,0.09149,0.02984,6,0.6779042783337084,0.35877141169521565,0.0,5.0,87.85,-6.29,26.68,2026-02-23
ORCL,148.08,-5.4,12992004,19.72230406871831,155.64,189.7,9,0,18531196.983,-1.05,0.94,-5.37,-7.06,61.77,5.37,79.09,10.45,10.45,38.45,-5.96,-5.92,bearish,-0.05556,-0.05518,0.05048,0.03755,0.03451,5,0.20771945218761295,0.9286473715298289,0.94,-5.0,88.45,-5.96,25.19,2026-02-23
KHC,24.4,1.71,11223137,13.935230618253192,23.7,27.25,5,2,14281024.733,-0.42,-0.13,0.33,1.41,35.68,3.01,59.05,7.62,33.33,51.34,-0.03,-0.09,,0.01695,0.00328,-0.16822,0.02309,0.02492,4,0.12496042510442601,0.6919078558771413,0.0,0.33,98.66,-0.03,24.67,2026-02-23
PLTR,135.24,0.26,40653087,30.269058349131246,125.26,169.94,4,2,63767041.867,-0.47,-0.29,4.73,-6.31,133.16,6.18,57.04,19.25,23.71,41.07,-6.87,-6.02,,0.00259,0.04623,0.15277,0.07094,0.00944,9,0.3585451036336406,0.6681630242173657,0.0,4.73,91.07,-6.87,24.06,2026-02-23
TSLA,411.82,0.03,49015490,24.03183774290305,342.64,436.22,1,6,76229818.4,0.31,-0.7,-1.26,-1.98,85.5,3.48,38.26,31.3,30.43,47.34,-0.87,1.51,,0.00027,-0.01267,0.34373,0.04795,0.00779,9,0.2693486706709375,0.44630832841110457,0.0,-1.26,97.34,-0.87,23.96,2026-02-23
BABA,154.45,0.12,6561535,26.729462557069578,125.78,164.59,1,6,12583734.867,0.32,-0.58,-2.7,-5.72,75.82,2.81,71.15,20.55,8.3,43.52,-0.46,1.79,,0.00117,-0.02733,0.26176,0.04387,0.00892,4,0.30792651264353965,0.8348493797991733,0.0,-2.7,93.52000000000001,-0.46,23.39,2026-02-23
CRM,185.16,-0.07,9546967,24.683920705416888,213.63,273.79,8,0,8744848.8,-1.64,0.44,-0.15,-7.84,37.68,4.84,2.0,80.12,17.88,27.02,-15.16,-15.95,,-0.0007,-0.00146,-0.36887,0.02413,0.02179,3,0.2786738938631246,0.01795629060838748,0.44,-0.15,77.02,-15.16,21.76,2026-02-23
MSFT,397.23,-0.31,27956029,11.061161949006925,421.08,470.38,8,0,29830172.15,-1.6,0.23,-1.15,-5.78,37.68,2.49,22.58,58.27,19.15,33.97,-15.37,-14.18,,-0.00309,-0.01154,0.00806,0.02393,0.00642,6,0.0838593178050234,0.2610750147666864,0.23,-1.15,83.97,-15.37,21.43,2026-02-23
UBER,73.86,1.26,15709877,6.7997194039713245,79.98,85.61,4,0,21046448.2,-1.43,-0.09,3.71,-2.78,37.78,3.85,59.75,35.8,4.44,40.56,-2.9,-2.9,bullish,0.01253,0.0364,-0.07258,0.0239,0.01759,5,0.0229178346846214,0.7001772002362671,0.0,3.71,90.56,-2.9,17.96,2026-02-23
V,320.95,0.63,5143811,7.87042591297141,327.85,354.71,5,0,6585733.567,-1.36,0.09,-1.0,-1.47,21.67,2.31,62.69,30.91,6.4,41.93,-4.96,-4.9,,0.00631,-0.01001,-0.06212,0.01372,0.0183,3,0.03822965502610347,0.7349084465445955,0.09,-1.0,91.93,-4.96,17.78,2026-02-23
HIMS,15.63,-1.2,28534774,55.421686746987945,28.28,49.95,3,0,36437628.883,-1.44,-0.34,-1.08,-30.07,116.87,11.96,1.98,64.36,33.66,18.34,-4.99,-4.84,,-0.01208,-0.01082,-0.8073,0.07963,0.02131,7,0.7182445393863106,0.017720023626698174,0.0,-1.08,68.34,-4.99,12.53,2026-02-23
