simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
HIMS,23.84,-7.88,106967121,68.21341067053352,16.47,33.52,9,4,31784760.717,-0.39,1.15,50.13,36.9,134.43,8.16,93.9,3.6,2.5,58.56,-0.68,-2.48,,-0.08211,0.4063,-0.96124,0.0859,0.16099,7,1.0,0.961626455906822,1.15,5.0,91.44,-0.68,42.3,2026-03-13
WMT,125.33,1.49,18109952,11.390358152587824,112.99,126.64,4,8,29592640.917,0.66,-0.15,1.64,-0.92,38.02,2.22,97.59,1.93,0.48,51.79,0.61,1.31,,0.01479,0.01625,0.24476,0.02306,0.01014,6,0.1261288407627247,1.0000000000000002,0.0,1.64,98.21000000000001,0.61,35.42,2026-03-13
ORCL,159.16,-2.43,82674017,20.955538236661926,153.72,189.7,9,2,23964531.3,-0.46,0.97,2.82,4.57,64.94,4.52,59.72,34.31,5.97,52.91,-1.76,-3.84,,-0.02458,0.02784,-0.00301,0.0395,0.04637,6,0.27322996676688127,0.6061772046589018,0.97,2.82,97.09,-1.76,34.88,2026-03-13
PLTR,153.5,1.25,33603400,22.804559603792963,135.15,169.94,6,5,51628374.783,0.03,0.11,0.54,8.33,129.14,3.97,10.0,48.57,41.43,57.4,1.99,-0.32,,0.01246,0.00542,0.1948,0.06781,0.02347,9,0.30166572257283675,0.08912229617304494,0.11,0.54,92.6,1.99,32.8,2026-03-13
CRM,199.28,2.65,7905976,29.165863949632183,193.88,260.09,9,1,11103998.05,-0.73,2.78,-1.05,3.79,41.31,4.2,44.0,47.63,8.37,49.19,-3.62,-6.27,,0.02618,-0.01053,-0.36696,0.02636,0.01841,3,0.39949503931367925,0.4426996672212979,2.78,-1.05,99.19,-3.62,32.72,2026-03-13
PFE,26.86,-1.61,40486293,6.902481967542686,25.25,27.05,3,8,42112214.6,0.69,-0.28,0.94,-0.81,26.74,2.07,51.02,2.04,46.94,50.58,0.16,0.23,,-0.01625,0.00935,0.15514,0.01665,0.01405,8,0.05711062736948655,0.5157029950083195,0.0,0.94,99.42,0.16,32.43,2026-03-13
INTC,45.25,-5.69,71553092,14.993487868768785,40.84,47.46,3,6,98459005.933,0.32,-0.33,-1.52,-0.6,177.43,4.98,93.45,3.01,3.54,49.5,0.28,0.34,,-0.05858,-0.01535,0.74975,0.0885,0.05066,9,0.18154070271728842,0.9569467554076541,0.0,-1.52,99.5,0.28,28.4,2026-03-13
AVGO,335.97,-1.64,17101016,6.550256186120206,321.36,343.12,3,6,23922260.933,0.38,-0.3,0.96,1.84,101.32,3.75,20.51,30.08,49.41,54.26,3.25,1.98,,-0.01653,0.00957,0.37621,0.05405,0.02468,5,0.051693812568350886,0.1984193011647255,0.0,0.96,95.74000000000001,3.25,28.35,2026-03-13
BAC,47.13,-2.86,41333636,10.038279559666176,49.94,55.21,9,0,38801093.367,-1.26,1.43,-5.38,-6.94,62.25,3.07,57.44,8.3,34.26,31.64,-1.31,-0.93,,-0.02907,-0.05531,0.05137,0.03566,0.01747,7,0.10533547548191385,0.5824667221297837,1.43,-5.0,81.64,-1.31,24.6,2026-03-13
JPM,282.89,-1.61,6376621,6.463301715799838,297.64,317.52,9,0,9651895.2,-1.09,1.27,-3.63,-5.29,55.3,2.79,1.43,9.76,88.81,32.61,-5.32,-3.41,,-0.01623,-0.03699,0.06578,0.03208,0.00744,3,0.05035655593723756,0.0,1.27,-3.63,82.61,-5.32,24.25,2026-03-13
MRK,115.91,-0.26,4870098,10.472693592669764,107.43,119.3,1,6,11200597.9,0.45,-0.64,-0.14,-3.45,81.46,2.5,19.35,30.0,50.65,46.65,0.73,1.99,,-0.00258,-0.00138,0.40603,0.04419,0.00703,4,0.11201624812238214,0.18635607321131453,0.0,-0.14,96.65,0.73,23.74,2026-03-13
KHC,22.33,-3.5,23309559,4.119373522765645,23.57,24.56,9,0,15670856.333,-1.71,0.71,-7.84,-7.61,36.45,2.9,74.61,19.17,6.22,30.29,-0.25,-0.06,,-0.03563,-0.08166,-0.22198,0.02358,0.02037,5,0.014309720076583363,0.7610232945091514,0.71,-5.0,80.28999999999999,-0.25,23.31,2026-03-13
WFC,75.25,-2.12,12832313,12.146462851048714,82.57,93.24,9,0,15040916.483,-1.69,0.81,-8.35,-9.91,65.5,3.74,25.14,7.26,67.6,27.56,-3.03,-2.11,,-0.02143,-0.08724,-0.01071,0.03749,0.0061,4,0.13775683433346955,0.2465682196339435,0.81,-5.0,77.56,-3.03,22.73,2026-03-13
NKE,54.13,-2.82,19749354,5.5205110201355945,61.08,64.54,9,0,15926431.183,-2.89,0.51,-6.7,-11.18,37.05,2.87,80.42,12.59,6.99,25.47,-2.12,-1.31,,-0.02859,-0.0694,-0.13704,0.02339,0.00928,5,0.03585755312710104,0.8214434276206324,0.51,-5.0,75.47,-2.12,21.38,2026-03-13
AMZN,209.53,-1.47,33810699,13.706490107042631,207.68,238.24,5,1,46795791.85,-0.78,-0.12,-4.3,0.31,40.42,2.56,22.47,38.76,38.76,43.94,-1.94,-2.99,,-0.01478,-0.04393,0.01621,0.02481,0.0124,8,0.16174820343858068,0.218801996672213,0.0,-4.3,93.94,-1.94,18.97,2026-03-13
