simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
LLY,1058.18,3.66,6253990,33.68379159318574,757.34,1064.1,9,8,3772728.133,0.93,0.51,2.03,0.5,116.94,3.17,8.15,6.88,84.97,54.65,22.61,31.62,,0.03592,0.02007,0.3347,0.06358,0.06907,3,0.3930616342315172,0.0661292207033532,0.51,2.03,95.35,22.61,47.64,2026-02-09
AVGO,332.92,7.22,41370808,48.342662937438945,204.52,334.9,9,8,22693511.0,0.89,1.46,0.49,0.14,101.96,4.42,68.56,11.12,20.32,57.65,6.04,11.17,,0.06969,0.00488,0.6208,0.05457,0.04341,6,0.607383329472066,0.7719359738287184,1.46,0.49,92.35,6.04,47.25,2026-02-09
AMD,208.44,8.28,61526532,75.19630113033597,100.53,221.68,9,8,39203420.417,0.68,0.87,-11.95,-10.25,195.66,6.19,88.08,6.46,5.45,46.96,8.75,18.08,,0.07956,-0.12727,0.78273,0.09221,0.10323,7,1.0,0.9999999999999999,0.87,-5.0,96.96000000000001,8.75,46.26,2026-02-09
GOOGL,322.86,-2.53,87068779,68.48211116381665,161.13,328.93,9,8,36759944.95,0.94,1.04,-4.48,-2.96,172.17,3.26,41.3,30.59,28.11,58.29,17.11,23.23,,-0.02565,-0.04583,0.72538,0.08004,0.01639,7,0.9018344221735979,0.453440822525996,1.04,-4.48,91.71000000000001,17.11,45.9,2026-02-09
SMCI,34.38,11.44,56408621,13.170712998120674,30.44,34.74,8,8,43335982.033,0.16,0.21,18.1,11.29,102.11,5.79,72.99,9.2,17.82,56.92,-0.29,-0.77,,0.10834,0.16639,0.02653,0.06637,0.08863,8,0.09314783624184451,0.8236943568173851,0.21,5.0,93.08,-0.29,44.93,2026-02-09
NVDA,185.41,7.87,201785799,46.578193639713454,116.11,186.62,9,8,194537426.283,0.94,0.62,-2.99,0.4,92.38,3.09,70.32,12.82,16.85,57.02,4.2,7.16,,0.07577,-0.03038,0.50229,0.05078,0.04644,9,0.5815857054799104,0.7924991237294076,0.62,-2.99,92.97999999999999,4.2,44.44,2026-02-09
HOOD,82.82,13.95,54527180,74.57664428685985,49.86,109.14,9,5,32174815.983,0.08,1.43,-16.75,-19.05,187.9,6.32,69.08,20.61,10.31,38.12,-3.41,1.45,,0.1306,-0.18329,0.63066,0.09088,0.09782,6,0.9909402366633584,0.7780114499357401,1.43,-5.0,88.12,-3.41,39.07,2026-02-09
AMZN,210.32,-5.55,95706013,22.454097758805137,190.14,238.24,9,4,44978103.65,-0.17,5.8,-12.11,-11.27,45.33,3.15,68.46,10.06,21.47,32.61,0.81,4.83,,-0.05715,-0.12909,0.15795,0.02783,0.02785,8,0.2288766186804853,0.7707676130389063,3.0,-5.0,82.61,0.81,36.13,2026-02-09
V,331.58,0.74,8315468,7.368378148594869,329.5,354.71,9,1,6357613.05,-0.84,0.53,3.03,0.52,22.31,2.09,2.49,41.72,55.79,46.68,-4.26,-5.27,,0.00742,0.02985,-0.01268,0.0141,0.01907,3,0.008314139833750567,0.0,0.53,3.03,96.68,-4.26,30.47,2026-02-09
BABA,162.51,3.01,10752727,29.218104605732538,121.29,162.79,2,8,13771041.333,0.95,-0.41,-4.16,-2.89,76.69,2.87,61.01,10.42,28.57,52.34,4.36,7.18,,0.02966,-0.04247,0.36974,0.0445,0.02366,4,0.32777054987120297,0.6837247341979202,0.0,-4.16,97.66,4.36,28.84,2026-02-09
TSLA,411.11,3.5,70216754,41.30742269541501,286.88,436.22,1,7,85571916.133,0.55,-0.75,-4.48,-4.48,89.96,3.63,60.95,20.48,18.57,48.01,2.65,9.98,,0.0344,-0.04588,0.48109,0.05103,0.02799,9,0.5045237995883952,0.6830237177240333,0.0,-4.48,98.00999999999999,2.65,25.47,2026-02-09
ORCL,142.82,4.65,37358261,25.06803243536535,147.44,189.7,9,0,16008176.467,-0.94,1.27,-13.22,-18.24,59.1,5.49,71.56,8.86,19.58,30.67,-8.61,-3.23,,0.04541,-0.14181,0.06419,0.03594,0.04471,5,0.2670939478303225,0.8069867975230751,1.27,-5.0,80.67,-8.61,24.64,2026-02-09
HIMS,23.02,-1.96,67297271,53.60621926066953,28.84,49.95,9,0,33028816.533,-1.19,0.36,-15.02,-20.36,122.83,9.62,28.82,23.94,47.24,25.89,-3.76,-3.51,,-0.01979,-0.1628,-0.24667,0.08179,0.01051,7,0.6843397531759373,0.3076293959574717,0.36,-5.0,75.89,-3.76,24.24,2026-02-09
MSFT,401.14,1.9,65025347,11.061161949006925,421.08,470.38,9,0,27439530.117,-1.1,1.43,-6.77,-10.45,39.13,3.02,22.21,7.33,70.46,32.09,-13.87,-5.9,,0.0188,-0.07015,0.03917,0.02485,0.02791,6,0.062304905266822044,0.23040074775090547,1.43,-5.0,82.09,-13.87,23.07,2026-02-09
UBER,74.77,-0.59,33031771,6.7997194039713245,79.98,85.61,9,0,20597313.65,-1.54,0.41,-6.6,-8.24,39.7,3.8,22.57,11.6,65.83,32.8,-2.22,-1.33,,-0.00587,-0.06823,0.01008,0.02505,0.03014,5,0.0,0.2346068465942283,0.41,-5.0,82.8,-2.22,22.66,2026-02-09
KHC,24.64,0.8,13103250,18.120773178569717,23.7,28.42,3,2,12889558.7,-0.56,-0.25,3.79,4.24,34.87,2.57,69.57,30.43,0.0,54.64,-0.23,-0.52,,0.00795,0.03721,-0.1773,0.02257,0.0139,4,0.1655207539448495,0.7837364178058184,0.0,3.79,95.36,-0.23,22.13,2026-02-09
PLTR,135.9,4.53,91134752,35.70450820213568,118.46,169.94,4,3,71135724.0,-0.2,-0.24,-7.29,-15.9,134.59,5.67,10.68,33.48,55.84,37.65,-4.71,0.35,,0.04431,-0.07572,0.32288,0.07206,0.07988,9,0.42260575117341725,0.0956887486855941,0.0,-5.0,87.65,-4.71,20.96,2026-02-09
CRM,191.35,0.73,20019422,16.31187530036262,232.5,273.79,9,0,7787659.7,-2.3,1.35,-9.86,-14.17,40.25,3.94,3.74,39.71,56.55,20.42,-16.76,-14.08,,0.00724,-0.10385,-0.28688,0.02567,0.03734,3,0.13907355684011719,0.014604509872648674,1.35,-5.0,70.42,-16.76,20.35,2026-02-09
