simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
AVGO,320.33,-3.26,16728520,50.72126745761088,199.4,334.9,9,8,22585049.2,0.79,1.94,-3.74,-4.63,101.28,3.97,54.35,7.04,38.61,51.22,10.12,15.87,,-0.0331,-0.03816,0.62011,0.05409,0.01472,6,0.635181687199614,0.6447691887462441,1.94,-3.74,98.78,10.12,46.72,2026-02-04
LLY,1003.46,-3.9,2751911,33.95579677519386,754.92,1063.68,9,7,3668056.15,0.66,0.37,-3.47,-5.02,113.79,3.11,67.79,14.25,17.96,48.51,24.06,39.41,,-0.03973,-0.0353,0.3307,0.06133,0.02101,3,0.39272393180019183,0.8283255940999728,0.37,-3.47,98.50999999999999,24.06,44.24,2026-02-04
PLTR,157.88,6.85,67446846,37.58694734660464,116.17,169.94,9,7,72433273.283,0.56,1.02,-4.72,-6.15,131.43,4.38,59.79,0.4,39.81,48.78,0.08,4.25,,0.06625,-0.04834,0.57782,0.06957,0.04787,9,0.4452366607142042,0.7190658290084676,1.02,-4.72,98.78,0.08,42.04,2026-02-04
NVDA,180.34,-2.84,160114156,48.969382006780606,113.21,186.62,5,8,200817281.3,0.88,-0.07,-4.34,-3.13,90.81,2.61,58.89,0.05,41.06,52.66,7.19,9.67,,-0.0288,-0.04436,0.5167,0.04971,0.02014,9,0.6098463881095215,0.7067741054356733,0.0,-4.34,97.34,7.19,35.94,2026-02-04
HOOD,87.07,-3.16,59286933,75.94772687767647,49.06,109.14,7,6,32003078.3,0.27,0.28,-17.27,-19.53,184.11,5.68,55.91,4.59,39.49,34.18,0.88,5.29,,-0.0321,-0.18953,0.76516,0.08788,0.03585,7,1.0,0.6660748429390876,0.28,-5.0,84.18,0.88,35.68,2026-02-04
NIO,4.55,0.66,64883232,17.52756819500869,3.93,4.68,5,7,39510934.3,0.51,-0.06,-1.94,-2.57,84.97,4.04,7.14,14.29,78.57,48.75,0.04,0.08,,0.00662,-0.01959,0.32728,0.04881,0.02876,7,0.15514328153442217,0.0,0.0,-1.94,98.75,0.04,32.86,2026-02-04
KHC,23.87,1.57,11855700,18.74671382821089,23.7,28.6,9,1,12674698.5,-0.93,0.86,0.72,1.76,34.82,2.6,70.37,25.93,3.7,47.57,-0.52,-0.72,,0.01562,0.00715,-0.18914,0.02254,0.01917,4,0.17277423978966625,0.863561868341983,0.86,0.72,97.57,-0.52,31.38,2026-02-04
ORCL,154.67,-3.37,47108194,25.265137972414355,147.15,189.7,9,2,14696965.45,-0.4,2.86,-11.57,-15.11,55.43,4.92,48.51,14.05,37.43,31.96,-3.76,0.8,,-0.03425,-0.12292,0.14832,0.03346,0.00822,4,0.2670419473108442,0.5650095602294454,2.86,-5.0,81.96000000000001,-3.76,31.15,2026-02-04
V,328.93,-1.47,8330077,7.368378148594869,329.5,354.71,9,0,6318176.267,-1.04,1.04,1.13,-1.41,22.98,1.92,39.31,59.83,0.87,43.75,-5.32,-5.72,,-0.01482,0.01122,0.01322,0.0145,0.02603,3,0.008223790755500615,0.4393608303742147,1.04,1.13,93.75,-5.32,27.87,2026-02-04
TSLA,421.96,0.04,55850125,42.219380049418355,284.16,436.22,0,8,88965751.9,0.75,-1.01,-2.07,-2.93,89.06,3.09,15.53,28.85,55.61,51.19,9.06,15.69,,0.00036,-0.02097,0.5139,0.05041,0.02562,9,0.5122296641579446,0.1145861786397159,0.0,-2.07,98.81,9.06,26.65,2026-02-04
UBER,77.93,-3.6,15459498,6.7997194039713245,79.98,85.61,9,0,19499413.633,-0.86,0.91,-4.07,-6.4,38.29,3.19,75.68,5.62,18.7,36.22,-1.18,-0.62,,-0.03666,-0.0416,0.09398,0.02412,0.02452,5,0.0,0.9360830374214695,0.91,-4.07,86.22,-1.18,25.46,2026-02-04
MSFT,411.21,-2.87,41784456,11.237696999295505,420.33,470.38,9,0,26071014.333,-0.77,1.8,-14.43,-10.51,37.67,2.82,80.36,0.0,19.64,31.4,-6.94,0.01,,-0.02914,-0.15589,0.07539,0.0239,0.043,6,0.06418084565938947,1.0,1.8,-5.0,81.4,-6.94,25.17,2026-02-04
CRM,196.38,-6.85,7825618,12.868391281381223,240.69,273.79,9,0,7238565.75,-2.6,3.23,-14.07,-15.85,38.96,3.4,70.89,2.3,26.81,17.79,-14.48,-12.1,,-0.07091,-0.15162,-0.26168,0.02484,0.03355,3,0.0877635104629389,0.8706637530729309,3.0,-5.0,67.78999999999999,-14.48,22.36,2026-02-04
NKE,60.93,-2.01,10993347,9.495807019360186,57.5,63.24,1,5,17170638.65,0.04,-0.54,-3.42,-5.06,37.32,2.47,40.24,35.95,23.81,41.62,0.01,0.62,,-0.02031,-0.03484,0.11336,0.02346,0.01208,5,0.03899009839747153,0.4520622780661021,0.0,-3.42,91.62,0.01,19.98,2026-02-04
SMCI,29.67,-0.13,26538745,11.719233147804573,30.44,34.24,5,0,41307860.017,-0.84,-0.19,-4.9,-2.61,93.49,5.47,21.57,11.11,67.32,42.12,-0.98,-1.04,,-0.00135,-0.05028,-0.12677,0.06145,0.02418,8,0.07114469271878857,0.19707730128380221,0.0,-4.9,92.12,-0.98,16.23,2026-02-04
