simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
BAC,52.77,-1.11,24575626,22.19986361596734,44.18,55.21,7,7,36687292.383,0.48,0.33,-2.01,-1.49,60.43,2.62,87.76,4.08,8.16,48.08,0.38,0.78,,-0.01112,-0.02026,0.28258,0.0344,0.01429,7,0.23438174860361227,1.0,0.33,-2.01,98.08,0.38,38.39,2026-02-20
SMCI,32.16,8.25,16683434,11.186347802262315,30.15,33.72,7,5,41687949.333,-0.28,0.01,0.37,2.61,99.98,6.04,83.47,3.31,13.22,51.62,-0.34,-0.38,bullish,0.07924,0.00374,-0.14747,0.06503,0.04829,8,0.07574837167319401,0.9488311068702289,0.01,0.37,98.38,-0.34,34.9,2026-02-20
INTC,44.62,-1.85,63008854,75.35481046371629,21.35,47.17,2,8,96033873.433,0.67,-0.48,-7.6,-6.1,175.69,6.46,24.8,19.2,56.0,48.4,1.36,2.47,,-0.01865,-0.07904,0.77727,0.08711,0.01598,9,1.0,0.24904580152671751,0.0,-5.0,98.4,1.36,30.06,2026-02-20
F,13.78,-0.51,63564650,26.94598480180735,10.53,13.81,1,8,73151153.883,0.77,-0.68,-0.51,-0.18,67.23,2.15,3.92,64.71,31.37,54.29,0.23,0.29,,-0.00507,-0.00507,0.31864,0.03756,0.01235,9,0.3027425921131766,0.0,0.0,-0.51,95.71000000000001,0.23,27.48,2026-02-20
LLY,1023.22,0.26,3219357,31.27353193419899,776.32,1064.1,0,7,3592059.633,0.51,-1.02,0.79,-1.69,113.05,3.59,68.04,11.0,20.96,49.46,6.3,13.34,,0.0026,0.00786,0.15387,0.06097,0.01363,3,0.3650744965702959,0.7647900763358778,0.0,0.79,99.46000000000001,6.3,26.32,2026-02-20
NVDA,187.9,-0.04,159887319,33.50444220489518,133.99,187.92,0,8,179582985.883,0.79,-1.16,-1.13,1.04,89.52,3.5,31.41,19.13,49.46,56.71,3.41,4.37,,-0.00043,-0.01138,0.54704,0.04865,0.01691,9,0.3972074535529251,0.32788645038167935,0.0,-1.13,93.28999999999999,3.41,25.83,2026-02-20
AVGO,333.99,0.14,13518091,39.13991378910314,230.6,342.83,0,8,22078970.567,0.69,-1.13,-2.56,1.44,101.17,4.74,8.71,50.58,40.7,54.97,5.32,6.89,,0.00144,-0.02592,0.55117,0.05399,0.02177,6,0.4783780718295954,0.057132633587786266,0.0,-2.56,95.03,5.32,25.56,2026-02-20
AAPL,260.58,-1.43,33598417,22.668831088852563,211.11,265.08,0,8,50293806.717,0.62,-1.38,-5.42,-1.38,79.8,2.71,45.6,42.44,11.96,49.66,3.68,5.81,,-0.01436,-0.05568,0.21514,0.04399,0.03049,8,0.24113653019676462,0.49713740458015265,0.0,-5.0,99.66,3.68,24.43,2026-02-20
GOOGL,302.85,-0.16,28232579,65.8469951883364,165.98,328.93,0,7,37226558.417,0.49,-0.62,-2.61,-6.61,172.25,3.31,18.97,48.25,32.78,42.1,1.88,8.75,,-0.00158,-0.02643,0.63426,0.08004,0.00678,7,0.8630540083769365,0.1795085877862595,0.0,-2.61,92.1,1.88,24.37,2026-02-20
JPM,308.05,-0.24,5340952,18.644585242634932,263.37,317.52,0,7,9151624.4,0.49,-0.85,-0.89,-0.13,54.27,2.68,21.67,27.83,50.49,50.5,1.53,2.94,,-0.00237,-0.00895,0.2363,0.03139,0.01545,3,0.1831732313753907,0.21171278625954199,0.0,-0.89,99.5,1.53,23.93,2026-02-20
AMD,203.35,1.61,35071829,65.13474177476476,112.76,221.68,0,7,38231428.017,0.4,-1.15,-4.79,-9.84,195.01,5.65,55.8,12.92,31.28,45.08,-1.13,4.24,,0.01601,-0.04908,0.74653,0.09159,0.02115,7,0.8527950532770139,0.618797709923664,0.0,-4.79,95.08,-1.13,23.78,2026-02-20
WFC,87.57,-1.12,5925591,22.140825776864556,74.66,93.24,0,6,14660843.367,0.29,-1.25,-1.55,-2.53,63.36,3.26,17.21,19.81,62.99,45.73,0.05,0.8,,-0.01124,-0.01564,0.23212,0.036,0.01775,4,0.23353139600577105,0.1585162213740458,0.0,-1.55,95.72999999999999,0.05,21.37,2026-02-20
TSLA,411.71,0.09,45533478,24.265070609228605,341.83,436.22,0,6,77794616.733,0.33,-1.03,-3.87,-2.44,85.54,3.62,39.29,31.78,28.94,47.33,-0.45,2.2,,0.00095,-0.03943,0.36475,0.04799,0.01291,9,0.2641279953919155,0.42187499999999994,0.0,-3.87,97.33,-0.45,20.64,2026-02-20
BABA,154.27,-0.96,4491677,26.831014981764984,125.65,164.59,0,6,12617111.533,0.33,-0.92,-6.12,-6.48,75.81,2.79,40.66,11.71,47.63,43.26,-0.04,2.35,,-0.00968,-0.06311,0.26489,0.04387,0.01473,4,0.3010866222024867,0.4382156488549617,0.0,-5.0,93.25999999999999,-0.04,19.83,2026-02-20
META,644.78,0.24,14565880,5.927329142834421,625.49,663.7,0,5,14970217.567,0.09,-0.64,-3.58,-3.82,39.78,3.18,61.41,23.02,15.57,45.6,-0.8,5.19,,0.00242,-0.03641,0.15946,0.0245,0.0145,5,0.0,0.6857108778625953,0.0,-3.58,95.6,-0.8,18.29,2026-02-20
CRM,185.29,-1.33,8741186,22.429605853711486,218.57,273.79,6,0,8647663.8,-1.71,0.19,0.16,-8.75,37.77,4.7,35.22,9.41,55.38,27.12,-15.65,-16.12,,-0.0134,0.00157,-0.36022,0.0242,0.02182,3,0.23769084513676053,0.3733301526717557,0.19,0.16,77.12,-15.65,17.79,2026-02-20
HOOD,75.65,0.59,25501329,53.58019313148914,63.02,109.14,1,3,32706565.017,-0.37,-0.76,-2.98,-14.34,188.69,7.57,46.74,18.77,34.48,37.24,-6.39,-4.59,,0.00583,-0.03021,0.43573,0.09149,0.05639,6,0.6863689000672715,0.5107347328244275,0.0,-2.98,87.24000000000001,-6.39,16.79,2026-02-20
ORCL,156.54,0.24,14766956,19.72230406871831,155.64,189.7,3,1,18155208.65,-0.6,-0.44,-0.39,-2.67,60.65,5.03,15.07,67.07,17.85,44.04,-5.61,-5.89,,0.00237,-0.00395,0.11067,0.0368,0.02398,5,0.19869617424440172,0.13299141221374045,0.0,-0.39,94.03999999999999,-5.61,16.78,2026-02-20
PLTR,134.89,-0.36,58383224,31.138168054670956,124.15,169.94,1,2,64724626.867,-0.47,-0.67,-0.58,-7.53,133.17,6.24,50.1,24.66,25.24,40.75,-7.11,-5.78,,-0.00363,-0.00584,0.16258,0.07095,0.02837,9,0.3631247804499256,0.55081106870229,0.0,-0.58,90.75,-7.11,15.24,2026-02-20
MSFT,398.46,-0.29,23013887,11.061161949006925,421.08,470.38,5,0,29540495.483,-1.54,-0.09,-1.46,-6.09,37.7,2.63,28.74,48.2,23.07,34.49,-15.56,-13.84,,-0.00286,-0.01472,0.01849,0.02394,0.00667,6,0.07394525494083262,0.2960400763358778,0.0,-1.46,84.49000000000001,-15.56,15.14,2026-02-20
KHC,23.99,0.17,15130808,14.897979107683302,23.7,27.52,2,1,14377648.067,-0.65,-0.5,-4.0,0.06,35.45,3.12,8.6,54.84,36.56,47.08,-0.05,-0.11,,0.00167,-0.04084,-0.18309,0.02295,0.02552,4,0.12920892122512814,0.05582061068702289,0.0,-4.0,97.08,-0.05,13.5,2026-02-20
HIMS,15.82,-0.13,15720520,54.29207763283487,28.62,49.95,4,0,36565990.55,-1.47,-0.24,-5.21,-31.5,127.04,12.9,17.43,49.54,33.03,19.08,-5.02,-4.7,,-0.00126,-0.05353,-0.58793,0.08467,0.0321,7,0.696622541533185,0.1611402671755725,0.0,-5.0,69.08,-5.02,12.69,2026-02-20
AMZN,204.86,0.03,49715750,16.16299678556318,202.61,238.24,1,1,47112372.117,-0.64,-0.53,0.33,-8.08,43.06,3.28,43.47,27.55,28.98,34.59,-7.68,-4.63,,0.00034,0.00325,0.08748,0.02638,0.01576,8,0.14742962653968775,0.47173187022900753,0.0,0.33,84.59,-7.68,12.13,2026-02-20
UBER,72.94,0.23,16056375,6.7997194039713245,79.98,85.61,1,0,20931591.533,-1.62,-0.55,2.72,-4.54,37.8,3.96,45.82,49.89,4.28,37.16,-3.13,-2.88,,0.00233,0.02682,-0.07129,0.02391,0.0174,5,0.012565489119573073,0.4997614503816793,0.0,2.72,87.16,-3.13,10.68,2026-02-20
V,318.93,-0.43,5658901,7.7943146286274985,328.1,354.71,0,0,6562263.567,-1.54,-0.52,-3.13,-2.17,21.78,2.48,32.29,28.48,39.24,39.56,-5.08,-4.83,,-0.00429,-0.03182,-0.05662,0.01379,0.01842,3,0.02689115967154551,0.3383826335877862,0.0,-3.13,89.56,-5.08,5.76,2026-02-20
