simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
HIMS,24.98,0.4,37791385,64.72309192629471,16.47,32.24,9,5,31875283.933,-0.19,0.11,6.43,33.39,133.91,7.81,35.08,20.97,43.95,61.63,0.45,-1.09,,0.00401,0.06235,-0.76198,0.08566,0.06523,7,0.9999999999999999,0.35097929490766655,0.11,5.0,88.37,0.45,42.65,2026-03-18
UBER,77.79,4.19,15873548,11.693130962429738,73.9,83.08,9,4,19320525.917,-0.18,1.73,7.5,4.83,36.11,3.1,20.83,75.0,4.17,57.31,-0.45,-0.95,,0.04107,0.07236,-0.12332,0.02295,0.02726,5,0.13944714983676193,0.191494124230554,1.73,5.0,92.69,-0.45,39.88,2026-03-18
AVGO,321.31,-1.11,31244813,5.6773737951432395,324.18,343.12,9,0,24906627.45,-0.22,1.48,-6.21,-2.3,101.84,3.97,42.3,17.86,39.84,45.47,0.62,1.65,,-0.01117,-0.0641,0.33203,0.05443,0.01884,6,0.0418254114438959,0.43178511471740344,1.48,-5.0,95.47,0.62,26.93,2026-03-18
WMT,125.08,-0.72,20337003,8.718582612278531,116.06,126.64,0,7,29542397.367,0.56,-0.32,-0.03,-0.37,37.87,2.07,63.74,26.83,9.44,50.75,0.59,1.01,,-0.00725,-0.00032,0.26533,0.02296,0.01173,6,0.091177152760671,0.671740346950196,0.0,-0.03,99.25,0.59,24.35,2026-03-18
PLTR,155.08,1.55,32773147,22.29999509459261,135.84,169.94,1,5,49917370.667,0.04,-0.66,2.61,6.98,128.85,3.84,60.04,36.07,3.89,58.46,2.43,0.96,,0.01533,0.02573,0.23755,0.06761,0.01307,9,0.31157186941644843,0.6303301622831562,0.0,2.61,91.53999999999999,2.43,24.23,2026-03-18
MRK,115.87,0.38,6539144,9.723458255051241,108.24,119.3,1,6,10945898.6,0.37,-0.65,-1.04,-2.86,81.4,2.43,3.72,38.43,57.85,46.84,0.13,1.14,,0.0038,-0.01047,0.39781,0.04415,0.00404,3,0.10748394580238034,0.0,0.0,-1.04,96.84,0.13,23.13,2026-03-18
AMZN,215.2,1.63,42137043,13.305873096241363,208.52,238.24,4,2,47015101.05,-0.46,-0.23,0.41,2.16,40.55,2.42,70.8,15.29,13.91,51.94,-1.5,-2.39,,0.01621,0.00405,0.05787,0.0249,0.01578,8,0.1656182013443357,0.7507554560716285,0.0,0.41,98.06,-1.5,22.65,2026-03-18
NVDA,181.93,-0.7,215647512,3.0999609892398494,182.77,188.52,6,0,175620775.9,-0.02,0.06,-1.54,-1.57,90.1,3.19,83.88,9.41,6.71,48.26,-0.33,0.15,,-0.00707,-0.01549,0.31455,0.04908,0.01426,9,0.0,0.8971460548405149,0.06,-1.54,98.25999999999999,-0.33,21.96,2026-03-18
SMCI,31.51,-1.1,28761904,6.730769230769236,30.15,32.25,0,6,29896020.617,-0.11,-0.58,-0.88,-0.55,86.33,4.98,36.21,61.53,2.25,49.08,-0.12,-0.1,,-0.01105,-0.00885,-0.27104,0.05741,0.02342,6,0.05891956780381846,0.3636261891438165,0.0,-0.88,99.08,-0.12,21.89,2026-03-18
EXE,106.4,-1.22,3954284,5.138291474923733,104.01,109.49,1,4,3386593.383,-0.2,-0.52,1.65,0.19,36.52,3.05,50.16,46.72,3.13,49.34,0.22,0.07,,-0.01224,0.01639,-0.07241,0.02309,0.01992,3,0.03307735998948094,0.5197537772803582,0.0,1.65,99.34,0.22,21.2,2026-03-18
CRM,195.31,-1.53,13094861,27.219570117207105,193.36,254.28,4,1,11494777.517,-0.77,-0.09,0.21,1.01,42.16,3.92,36.7,52.46,10.84,46.46,-2.89,-4.7,,-0.01539,0.00205,-0.37234,0.02688,0.02652,4,0.3914051227388025,0.3691102406267488,0.0,0.21,96.46000000000001,-2.89,20.24,2026-03-18
ORCL,154.69,-0.82,21541975,20.955538236661926,153.72,189.7,3,1,24717422.083,-0.68,-0.27,3.54,1.8,65.06,4.42,13.84,64.21,21.95,48.89,-1.14,-2.57,,-0.00824,0.0348,-0.0168,0.03958,0.04702,5,0.28975446355785967,0.11326245103525462,0.0,3.54,98.89,-1.14,19.85,2026-03-18
INTC,44.06,-3.72,113318901,9.906576536678257,42.98,47.46,3,2,99996374.767,0.06,-0.29,-5.81,-2.8,177.46,5.28,93.07,0.0,6.93,46.3,0.09,0.27,,-0.03786,-0.0599,0.76269,0.08854,0.03507,9,0.11045552934321116,1.0,0.0,-5.0,96.3,0.09,18.41,2026-03-18
BABA,136.57,-0.1,9915671,15.345616972607099,141.13,164.59,4,0,11215806.633,-1.02,-0.24,-0.2,-3.68,74.03,2.28,58.0,15.33,26.67,37.31,-5.76,-5.87,bullish,-0.00102,-0.00205,0.11709,0.04256,0.01041,4,0.1987184973752082,0.6074986010072748,0.0,-0.2,87.31,-5.76,16.24,2026-03-18
WFC,76.23,0.63,14691502,12.146462851048714,82.57,93.24,5,0,15127376.6,-1.57,0.17,-2.64,-6.81,65.39,3.28,20.0,49.63,30.37,33.71,-3.34,-2.68,,0.00632,-0.02679,0.03797,0.03742,0.01879,4,0.1468036713527172,0.18220481253497484,0.17,-2.64,83.71000000000001,-3.34,15.94,2026-03-18
GOOGL,310.92,1.75,23445212,7.1568354385536885,306.2,328.93,0,2,33574388.183,0.06,-0.9,1.26,1.4,171.58,2.2,83.33,8.46,8.21,53.48,-1.31,-1.43,bullish,0.01739,0.01256,0.59863,0.07939,0.01339,7,0.06583363077506961,0.8909904868494685,0.0,1.26,96.52000000000001,-1.31,15.18,2026-03-18
HOOD,77.35,2.71,22641027,35.744853189335146,76.04,109.14,1,1,28047360.3,-0.75,-0.61,-1.5,0.56,189.29,4.86,84.42,15.15,0.43,46.29,-2.57,-3.12,,0.02673,-0.01514,0.1775,0.09184,0.03073,6,0.5297506261640701,0.9031897034135424,0.0,-1.5,96.28999999999999,-2.57,14.36,2026-03-18
JPM,286.89,0.26,8142667,6.463301715799838,297.64,317.52,3,0,9616087.633,-1.03,-0.3,-0.64,-3.05,55.17,2.35,36.32,47.5,16.18,38.48,-5.59,-4.46,,0.00255,-0.00639,0.09584,0.032,0.00968,3,0.0545791925112582,0.36485730274202577,0.0,-0.64,88.47999999999999,-5.59,13.47,2026-03-18
KHC,22.89,0.79,14437148,4.206142634044775,23.51,24.52,3,0,15790336.233,-1.26,-0.3,-3.25,-4.36,35.58,2.62,13.33,53.33,33.33,38.69,-0.39,-0.19,,0.00789,-0.03309,-0.14644,0.02302,0.021,5,0.017950753685898213,0.10755456071628428,0.0,-3.25,88.69,-0.39,12.11,2026-03-18
F,11.94,1.96,49329151,5.429445010655053,13.12,13.86,2,0,63591289.567,-1.25,-0.35,-2.45,-8.05,70.56,3.46,42.11,47.37,10.53,33.9,-0.49,-0.34,,0.01945,-0.02482,0.13425,0.03992,0.01863,9,0.03780210427468644,0.429658645775042,0.0,-2.45,83.9,-0.49,10.41,2026-03-18
BAC,47.28,0.47,29809436,10.038279559666176,49.94,55.21,2,0,38496612.917,-1.35,-0.4,-2.64,-5.08,61.9,2.7,43.43,48.0,8.57,34.43,-1.46,-1.17,,0.00466,-0.02671,0.0877,0.03542,0.01461,7,0.11259276289472363,0.4444320089535535,0.0,-2.64,84.43,-1.46,10.41,2026-03-18
MSFT,399.41,-0.14,27676508,15.770113929397064,401.62,470.38,1,0,32603453.65,-0.99,-0.46,-1.56,-0.25,35.3,2.0,10.89,64.09,25.02,42.76,-5.44,-6.96,,-0.00135,-0.01577,-0.13,0.02259,0.00982,7,0.20560709505492641,0.08024622271964187,0.0,-1.56,92.75999999999999,-5.44,9.66,2026-03-18
TSLA,399.27,0.94,57799658,7.888908854582863,403.12,436.22,0,0,62366387.567,-0.68,-1.16,0.01,-0.97,83.44,2.89,50.28,11.94,37.78,46.35,-5.06,-4.8,,0.00934,9e-05,0.15764,0.0465,0.02107,9,0.07771347856756418,0.5210968102965866,0.0,0.01,96.35,-5.06,9.21,2026-03-18
AAPL,254.23,0.56,30091880,5.312091213080036,256.27,270.26,0,0,45643845.0,-0.26,-1.09,-2.53,-3.01,78.62,2.09,39.03,30.51,30.46,42.46,-2.13,-0.42,,0.00556,-0.02563,0.23315,0.04318,0.01495,8,0.035897725256767196,0.39518746502518187,0.0,-2.53,92.46000000000001,-2.13,8.01,2026-03-18
AMD,196.31,-0.14,30136935,10.210520746439537,200.14,221.68,0,0,35449320.183,-0.38,-0.88,-3.41,-2.02,196.82,3.81,9.37,64.05,26.58,45.31,-3.52,-3.3,,-0.00137,-0.03464,0.57278,0.09293,0.02137,7,0.11538783650027114,0.06323447118074986,0.0,-3.41,95.31,-3.52,7.5,2026-03-18
META,622.66,-0.76,14353381,3.914639624844639,639.65,665.19,1,0,13739579.25,-1.27,-0.49,-4.8,-3.61,36.4,2.58,39.56,54.04,6.4,40.49,-7.32,-3.92,,-0.00766,-0.04921,-0.02209,0.02253,0.02377,4,0.013220338259621142,0.4011191941801904,0.0,-4.8,90.49000000000001,-7.32,7.09,2026-03-18
V,308.46,-0.53,4147987,7.320587698134879,319.72,344.02,0,0,7010545.667,-1.34,-0.61,-1.9,-1.99,23.03,1.97,53.86,25.8,20.34,37.47,-4.7,-4.43,,-0.00533,-0.01917,-0.14886,0.01461,0.01029,3,0.06849094884851278,0.5611639619473979,0.0,-1.9,87.47,-4.7,6.75,2026-03-18
NKE,55.12,0.6,11166685,5.762104004781833,60.93,64.54,0,0,15763335.3,-2.08,-1.49,-1.71,-7.65,35.93,2.42,48.53,33.82,17.65,31.78,-2.32,-1.8,,0.006,-0.01727,-0.10659,0.02266,0.01635,5,0.04320038555426918,0.5015109121432569,0.0,-1.71,81.78,-2.32,5.64,2026-03-18
