simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
GOOGL,310.96,-2.39,39139068,67.03808362900467,163.78,328.93,9,8,37348198.617,0.71,0.42,-6.63,-5.94,172.06,3.44,70.96,17.63,11.4,47.83,10.89,18.24,,-0.02421,-0.0686,0.74468,0.07997,0.01296,7,0.9539581238379398,0.8666007905138338,0.42,-5.0,97.83,10.89,45.81,2026-02-12
BAC,53.85,-2.78,48282886,25.21925351825412,42.85,55.21,9,8,37017666.517,0.77,1.07,-2.76,0.69,60.42,2.25,74.0,4.89,21.12,53.17,1.19,1.28,bearish,-0.0282,-0.02802,0.37745,0.03441,0.02152,7,0.2916988937479803,0.9041501976284583,1.07,-2.76,96.83,1.19,44.5,2026-02-12
KHC,24.99,0.36,22399829,16.953079745124544,23.7,28.09,9,3,13717064.183,-0.34,3.73,2.08,4.8,34.22,2.72,73.62,12.88,13.5,57.86,-0.02,-0.31,,0.00361,0.02062,-0.18072,0.02217,0.00645,4,0.1607925564763575,0.8994565217391304,3.0,2.08,92.14,-0.02,38.29,2026-02-12
HOOD,77.97,-8.91,40817205,63.188196108574104,56.74,109.14,9,4,32970626.167,-0.17,2.21,-3.29,-19.75,188.08,7.08,0.8,34.16,65.04,35.95,-4.44,-1.16,,-0.09336,-0.03342,0.6712,0.09108,0.09795,6,0.8929898103183838,0.0,2.21,-3.29,85.95,-4.44,37.22,2026-02-12
AMD,213.58,0.0,25270826,69.94543064618384,106.8,221.68,2,8,38731969.95,0.68,-0.35,6.69,-8.26,194.59,5.69,38.98,19.16,41.86,49.19,4.91,12.24,,5e-05,0.06474,0.91479,0.09138,0.04589,7,1.0,0.471590909090909,0.0,5.0,99.19,4.91,35.7,2026-02-12
WFC,88.95,-3.22,20146068,23.73989592237668,73.46,93.24,5,7,15276399.2,0.56,0.03,-4.5,-1.14,63.4,3.0,81.05,9.2,9.75,47.94,1.51,1.84,,-0.03274,-0.04603,0.32904,0.03604,0.02305,4,0.2682712124886314,0.9912302371541502,0.03,-4.5,97.94,1.51,32.96,2026-02-12
ORCL,157.16,-1.71,40015407,23.329185742149942,150.07,189.7,8,2,17474768.55,-0.4,0.57,7.15,-6.5,61.16,5.41,67.29,0.0,32.71,43.41,-7.09,-5.2,,-0.01722,0.06908,0.24654,0.03713,0.06224,5,0.26176704661343286,0.8212697628458498,0.57,5.0,93.41,-7.09,32.91,2026-02-12
JPM,310.82,-2.34,9899132,20.529494838736934,258.4,317.52,3,8,9349294.967,0.7,-0.23,-2.03,0.68,54.24,2.33,75.05,12.33,12.63,52.39,4.74,4.98,bearish,-0.02372,-0.02054,0.30554,0.03138,0.02566,3,0.21743005446721994,0.9171195652173911,0.0,-2.03,97.61,4.74,32.09,2026-02-12
AVGO,342.76,0.68,16970549,44.41236363141424,218.24,342.83,1,8,22516739.883,0.95,-0.8,11.27,3.48,101.26,4.42,30.01,2.97,67.01,60.97,8.11,9.6,,0.00679,0.10677,0.72378,0.0541,0.03103,6,0.5956484373605265,0.36079545454545453,0.0,5.0,89.03,8.11,31.41,2026-02-12
NKE,62.35,-1.09,12998111,7.940264403460098,58.84,63.7,5,6,15968760.717,0.25,-0.1,-2.91,-1.85,38.42,2.77,66.52,4.51,28.97,47.73,-0.04,0.17,,-0.01101,-0.02955,0.10527,0.02412,0.01977,5,0.018062113436554755,0.8117588932806323,0.0,-2.91,97.72999999999999,-0.04,30.93,2026-02-12
V,329.24,0.33,5794796,7.49574842324185,329.08,354.71,9,1,6468408.15,-0.98,0.67,-0.22,0.38,21.67,2.15,50.24,38.93,10.83,45.71,-3.64,-4.45,,0.00326,-0.00215,0.02815,0.01368,0.01081,3,0.011022585787350117,0.6106719367588933,0.67,-0.22,95.71000000000001,-3.64,29.43,2026-02-12
