simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
AMD,210.86,-1.39,79862100,63.42746009375622,114.93,221.68,8,8,39518403.617,0.43,0.22,5.37,-2.28,195.81,4.35,62.17,29.51,8.32,50.33,-1.77,0.46,,-0.01403,0.05228,0.7581,0.09223,0.04343,8,0.8458890727582762,0.625423346127794,0.22,5.0,99.67,-1.77,47.24,2026-02-26
INTC,46.88,1.65,96456289,74.23422114022019,21.63,47.17,2,8,96213402.217,0.75,-0.43,3.12,-0.82,175.8,5.18,57.04,6.19,36.77,54.4,0.72,1.47,,0.01634,0.03076,0.82133,0.08723,0.03065,9,0.9999999999999999,0.5675095958455634,0.0,3.12,95.6,0.72,34.01,2026-02-26
GOOGL,312.9,0.64,25474628,63.55314495282924,170.29,328.93,2,8,37527887.4,0.51,-0.41,3.15,-2.37,172.35,2.96,21.55,17.62,60.83,51.49,1.08,4.34,,0.00641,0.03106,0.64583,0.08013,0.0195,7,0.8476814146161844,0.16685482050124184,0.0,3.15,98.50999999999999,1.08,33.73,2026-02-26
AVGO,332.31,2.1,21337493,38.31702745519564,232.58,342.83,2,8,21997892.95,0.56,-0.49,-0.36,0.66,101.22,4.11,23.76,54.3,21.95,53.52,3.4,5.04,,0.02074,-0.0036,0.48971,0.054,0.01335,6,0.4877991658258347,0.19180401896590654,0.0,-0.36,96.47999999999999,3.4,30.9,2026-02-26
CRM,191.75,3.41,15349380,31.797060505684847,198.68,273.79,9,0,9392016.65,-1.28,2.32,2.11,-1.36,39.86,4.6,84.63,8.22,7.15,39.62,-13.18,-15.13,,0.03357,0.02087,-0.36087,0.02547,0.03279,3,0.39482050664623924,0.8789794536012643,2.32,2.11,89.62,-13.18,29.8,2026-02-26
HOOD,77.53,5.64,23350762,50.87706696165616,64.88,109.14,5,3,31273274.167,-0.39,0.04,3.08,-5.43,188.89,6.32,17.56,16.79,65.65,42.35,-5.99,-5.58,,0.05488,0.03038,0.46725,0.09168,0.04129,6,0.6669129008488429,0.12181079250395122,0.04,3.08,92.35,-5.99,27.95,2026-02-26
META,653.69,2.25,10104424,4.110958371750132,636.97,663.7,2,6,14247206.233,0.21,-0.42,1.63,-2.01,38.73,2.94,95.35,1.62,3.03,49.67,-3.19,0.05,,0.02226,0.01615,0.09068,0.02385,0.01969,4,0.0,1.0,0.0,1.63,99.67,-3.19,27.25,2026-02-26
MSFT,400.6,2.98,32741944,12.739422374327678,414.04,470.38,9,0,29973492.383,-1.42,0.74,0.25,-2.17,35.06,2.44,91.95,7.72,0.33,40.6,-15.27,-15.41,bullish,0.02938,0.0025,-0.08303,0.02245,0.02282,6,0.12304709823709477,0.9616166177466696,0.74,0.25,90.6,-15.27,26.31,2026-02-26
WFC,86.76,2.59,18771500,20.323416262187855,76.04,93.24,3,5,14359383.8,0.1,-0.23,-2.03,-3.08,63.9,3.58,80.51,8.21,11.28,45.76,-0.69,0.01,,0.02557,-0.02053,0.16179,0.03637,0.02537,4,0.231199422992728,0.8324678256942877,0.0,-2.03,95.75999999999999,-0.69,25.92,2026-02-26
JPM,303.3,2.02,9597927,17.782292677424117,265.67,317.52,2,6,9183101.25,0.23,-0.46,-1.77,-1.77,55.09,2.97,70.18,5.42,24.4,47.43,-0.68,1.11,,0.01998,-0.01791,0.18327,0.03196,0.02388,3,0.19496146878979953,0.7158500790246107,0.0,-1.77,97.43,-0.68,25.86,2026-02-26
TSLA,417.4,1.96,57596019,22.102004194410878,349.41,436.22,0,7,73605759.933,0.33,-0.81,1.48,0.41,85.4,3.14,64.1,35.9,0.0,51.22,-1.71,-0.16,,0.0194,0.01467,0.37383,0.04789,0.021,9,0.2565631591054569,0.6472115601715962,0.0,1.48,98.78,-1.71,25.53,2026-02-26
KHC,24.56,-0.91,12459825,11.390201442427259,23.7,26.56,4,3,14387239.917,-0.26,-0.16,2.53,1.34,35.53,2.9,26.35,11.49,62.16,52.48,0.05,-0.03,,-0.00912,0.02495,-0.15389,0.023,0.0097,5,0.1038063943874291,0.22104312485888467,0.0,2.53,97.52000000000001,0.05,25.29,2026-02-26
ORCL,147.89,1.2,21099610,19.72230406871831,155.64,189.7,8,0,19350226.733,-1.08,0.43,-5.3,-4.2,62.15,5.03,21.36,69.3,9.34,40.77,-6.8,-6.46,,0.0119,-0.05448,-0.01902,0.03781,0.0386,5,0.22262720074097292,0.16470986678708513,0.43,-5.0,90.77000000000001,-6.8,22.08,2026-02-26
BAC,51.69,2.54,52809652,21.065538900427917,44.69,55.21,0,6,36979119.417,0.18,-0.95,-3.13,-3.31,61.21,2.95,94.77,5.23,0.0,44.98,-0.21,0.28,,0.02507,-0.0318,0.22999,0.03494,0.02351,7,0.24178253919327292,0.9934522465567848,0.0,-3.13,94.97999999999999,-0.21,21.45,2026-02-26
PLTR,134.19,4.15,46342436,28.06529381887178,128.12,169.94,4,2,61624147.05,-0.56,-0.26,-0.88,-3.38,132.86,5.08,51.81,27.5,20.69,42.38,-6.77,-6.56,,0.04069,-0.00883,0.07672,0.0707,0.02767,9,0.34160326404395974,0.5084669225558818,0.0,-0.88,92.38,-6.77,21.09,2026-02-26
V,312.99,1.88,9114241,8.338198291419854,326.31,354.71,7,0,6707180.95,-1.6,0.33,-2.28,-3.12,23.43,2.43,82.91,17.09,0.0,39.32,-6.57,-5.7,,0.01861,-0.02309,-0.10488,0.01487,0.02459,3,0.060282989592584116,0.859561977873109,0.33,-2.28,89.32,-6.57,20.91,2026-02-26
BABA,152.28,-0.54,6184300,22.989585027473897,130.65,164.59,0,6,12438136.55,0.13,-1.04,-2.24,-5.34,75.49,2.67,20.17,28.7,51.14,40.97,-1.6,0.2,,-0.00544,-0.02266,0.19135,0.04363,0.00601,4,0.26922059685180927,0.15127568299841954,0.0,-2.24,90.97,-1.6,20.65,2026-02-26
NKE,63.4,-1.08,11189011,5.169365252806195,61.29,64.54,0,6,15845470.983,0.32,-1.41,-3.28,0.27,39.35,3.33,51.05,34.37,14.58,49.5,0.28,0.25,,-0.01082,-0.03335,0.0789,0.02472,0.01901,5,0.015093520171054572,0.4998871076992549,0.0,-3.28,99.5,0.28,20.56,2026-02-26
AMZN,210.64,1.0,38501081,15.109054996497449,204.77,238.24,3,2,46960251.783,-0.46,-0.32,2.86,-2.82,43.19,2.9,6.77,35.71,57.52,43.95,-6.12,-5.86,,0.00992,0.02817,0.10323,0.02647,0.01855,8,0.15683948793227653,0.0,0.0,2.86,93.95,-6.12,20.22,2026-02-26
HIMS,15.82,2.33,61617782,65.67829006415585,25.26,49.95,6,0,34761922.4,-1.3,0.05,-0.13,-21.73,110.9,10.93,10.72,45.71,43.57,20.0,-4.57,-4.84,,0.02302,-0.00126,-0.9479,0.07639,0.01367,7,0.8779872650205404,0.044592458794310244,0.05,-0.13,70.0,-4.57,19.91,2026-02-26
UBER,72.83,2.03,19314474,10.269399032926561,77.25,85.61,1,0,21205982.817,-1.42,-0.56,0.08,-2.17,37.73,3.35,41.13,26.61,32.26,41.07,-2.7,-2.91,,0.02011,0.00082,-0.14602,0.02391,0.0252,5,0.08782307636639926,0.3878979453601265,0.0,0.08,91.07,-2.7,10.11,2026-02-26
