simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
META,631.09,-1.69,14476714,15.793705288236188,548.57,642.64,8,8,16351504.567,0.64,0.19,-4.47,-2.71,53.28,1.92,59.28,1.66,39.06,47.89,10.19,15.66,,-0.01709,-0.04573,0.05679,0.03301,0.01257,4,0.21588474431086013,0.5614778921865535,0.19,-4.47,97.89,10.19,41.33,2026-01-14
UBER,85.41,0.87,12053076,14.362843528408845,74.14,85.61,0,8,19873942.183,0.72,-1.06,-0.15,-0.19,49.32,2.36,53.57,23.66,22.77,52.6,0.49,0.64,,0.0087,-0.00152,0.11884,0.03088,0.01652,5,0.18585582874917872,0.4461942257217848,0.0,-0.15,97.4,0.49,26.0,2026-01-14
V,327.88,-4.46,13226294,5.506912728910841,335.7,354.71,9,0,6624904.583,-1.29,3.7,-8.3,-7.41,32.5,1.83,66.62,3.8,29.58,30.18,-1.88,1.09,,-0.04567,-0.08666,-0.02345,0.02052,0.01674,3,0.0,0.7096709065213003,3.0,-5.0,80.18,-1.88,25.75,2026-01-14
CRM,241.06,-7.07,3927078,8.208194932584242,256.0,277.92,9,0,6351817.517,-1.84,2.78,-8.31,-9.96,42.7,2.72,81.0,15.56,3.44,29.67,-5.46,-3.17,,-0.07333,-0.08673,-0.15196,0.02696,0.03347,3,0.056690714281279864,0.9999999999999998,2.78,-5.0,79.67,-5.46,25.03,2026-01-14
SMCI,28.6,-5.05,24774949,18.196524447341922,30.91,37.1,8,0,46881933.117,-1.31,0.21,-6.35,-16.64,104.21,4.17,61.24,0.48,38.28,35.23,-2.09,-1.58,,-0.05178,-0.06563,-0.38783,0.06771,0.02354,8,0.26631173569784283,0.6010498687664041,0.21,-5.0,85.22999999999999,-2.09,22.11,2026-01-14
EXE,102.98,0.14,3465449,6.993718170228874,104.28,111.84,4,0,4268137.067,-1.13,-0.16,-2.32,-6.39,34.99,2.7,31.47,44.58,23.95,36.8,-1.88,-0.67,,0.00136,-0.02351,-0.04156,0.02244,0.0183,3,0.031202982920848388,0.0,0.0,-2.32,86.8,-1.88,14.3,2026-01-14
HIMS,32.2,-0.43,23264956,53.15637768838491,28.98,49.95,0,2,33905216.85,-0.5,-0.63,-9.19,-23.03,132.06,5.38,64.1,4.49,31.41,35.46,-3.62,-2.31,,-0.00434,-0.09644,-0.07621,0.08749,0.03571,6,1.0,0.658792650918635,0.0,-5.0,85.46000000000001,-3.62,12.84,2026-01-14
KHC,23.51,0.51,12949253,10.491539800883967,26.53,29.47,0,0,11536921.233,-1.79,-0.76,0.0,-5.5,34.61,1.89,43.64,49.09,7.27,30.13,-1.21,-1.2,,0.00512,0.0,-0.22764,0.02234,0.01429,4,0.10461034717205236,0.2457096709065213,0.0,0.0,80.13,-1.21,6.66,2026-01-14
