simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
TSLA,326.09,5.67,140165390,27.41038629570809,252.39,332.55,8,8,127016751.6,0.93,0.57,-5.28,-3.15,87.56,5.54,64.21,10.14,25.65,52.59,5.01,11.98,,0.05519,-0.05425,0.31486,0.05408,0.08763,9,1.0,0.7164196254165229,0.57,-5.0,97.41,5.01,43.1,2025-10-14
NIO,3.81,5.83,23914275,11.519687601692155,3.62,4.06,3,4,45756808.2,-0.25,-0.3,7.93,0.24,58.45,3.66,88.89,0.0,11.11,50.65,-0.09,-0.09,bullish,0.0567,0.07633,-0.27779,0.03687,0.04191,7,0.27791320925803586,0.9999999999999999,0.0,5.0,99.35,-0.09,28.01,2025-10-14
XOM,107.22,2.14,13242162,5.403753716696637,103.49,109.24,1,6,17012406.367,-0.1,-0.5,3.29,2.41,31.26,1.58,66.66,24.74,8.6,57.56,-0.65,-1.08,,0.02121,0.03242,-0.05921,0.01993,0.01642,4,0.0,0.7445708376421922,0.0,3.29,92.44,-0.65,25.47,2025-10-14
CRM,268.22,-1.48,5727494,5.640863756914986,264.15,279.48,4,3,7025094.367,-0.11,-0.2,1.42,-3.05,38.67,2.45,55.74,24.32,19.93,45.9,-1.47,-0.4,,-0.01491,0.01408,-0.04566,0.02426,0.01761,3,0.010774480801051284,0.6190968631506377,0.0,1.42,95.9,-1.47,24.69,2025-10-14
WMT,97.32,-0.13,11224441,9.53200182790786,88.57,97.44,0,8,20674676.667,0.74,-1.04,-2.66,-0.28,30.64,1.57,1.86,47.8,50.34,51.5,0.76,1.04,,-0.00133,-0.02697,0.10682,0.01901,0.00548,6,0.18759108629588736,0.0,0.0,-2.66,98.5,0.76,24.42,2025-10-14
MRK,81.35,2.55,10744739,8.921315108976714,77.59,84.83,0,5,15898235.75,-0.04,-0.63,5.46,5.34,35.88,1.96,78.82,20.78,0.39,59.16,-0.23,-0.91,,0.02514,0.05314,-0.1529,0.02276,0.01291,4,0.1598409652022321,0.8842927726071468,0.0,5.0,90.84,-0.23,22.88,2025-10-14
BABA,121.88,0.33,7590516,10.986244345349947,116.69,130.25,0,4,19765941.917,-0.07,-0.86,6.01,0.47,50.39,1.74,55.8,12.35,31.85,52.02,-0.97,-1.25,,0.00329,0.05837,-0.19127,0.03225,0.01686,5,0.2536730964453662,0.619786280592899,0.0,5.0,97.97999999999999,-0.97,21.51,2025-10-14
AAPL,202.67,0.61,72785093,6.31923424766303,199.53,212.55,3,2,61538120.433,-0.27,-0.33,-0.3,-0.66,51.55,2.01,54.76,44.44,0.79,49.13,-0.8,-0.91,,0.00604,-0.00296,-0.0544,0.03198,0.01194,8,0.04160020974038167,0.60783637826037,0.0,-0.3,99.13,-0.8,20.15,2025-10-14
KHC,26.59,0.42,12584243,7.960765424530371,27.41,29.68,4,0,11286309.833,-1.46,-0.12,-0.75,-1.31,26.18,1.94,20.0,48.89,31.11,39.36,-0.5,-0.56,,0.00415,-0.00749,-0.14242,0.01653,0.00574,4,0.11619277500331657,0.20843387337699643,0.0,-0.75,89.36,-0.5,15.61,2025-10-14
