simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
NIO,4.84,5.45,46868881,8.029582673005809,4.54,4.92,9,7,40507450.0,0.43,0.64,-6.74,-1.94,83.92,3.78,60.0,30.0,10.0,49.35,0.04,0.09,,0.05303,-0.06982,0.19815,0.04809,0.03849,8,0.05655622219382518,0.6787391841779976,0.64,-5.0,99.35,0.04,40.5,2026-03-05
HOOD,82.21,8.07,26583940,40.40529192307161,72.46,109.14,9,3,29965777.65,-0.33,0.59,6.04,6.02,189.51,5.34,60.76,38.77,0.47,49.72,-3.89,-4.99,,0.07762,0.05861,0.40833,0.09215,0.05184,6,0.5607326821725974,0.6881334981458592,0.59,5.0,99.72,-3.89,38.71,2026-03-05
PLTR,153.19,4.06,67059368,26.52815937601393,130.14,169.94,7,5,55628986.433,0.14,0.16,14.16,12.02,129.94,4.04,73.83,20.72,5.45,59.48,-1.9,-4.67,,0.03975,0.13242,0.26694,0.0684,0.02072,9,0.34462858053913215,0.8496909765142152,0.16,5.0,90.52000000000001,-1.9,37.27,2026-03-05
AMZN,216.82,3.88,42680032,14.556932507429753,205.91,238.24,9,3,47253899.067,-0.26,0.29,2.93,3.7,43.49,2.56,85.99,9.68,4.33,52.62,-3.82,-5.15,,0.03803,0.02892,0.11607,0.02666,0.02005,8,0.15820453226308495,1.0,0.29,2.93,97.38,-3.82,36.33,2026-03-05
INTC,45.58,5.75,82373506,26.011439523253383,36.31,47.17,5,7,97841267.067,0.52,-0.03,-2.77,-1.83,176.65,4.45,54.55,19.09,26.36,51.05,0.19,0.71,,0.05595,-0.02812,0.75514,0.08786,0.04145,9,0.33658186921758676,0.6113720642768851,0.0,-2.77,98.95,0.19,33.63,2026-03-05
SMCI,32.65,6.42,25585456,10.593270250107983,30.15,33.52,4,6,37874859.983,-0.12,-0.25,-2.83,2.27,99.38,4.78,80.28,14.49,5.23,52.91,0.06,-0.04,,0.06223,-0.02868,0.02042,0.06446,0.04179,7,0.09647970053777229,0.9294190358467245,0.0,-2.83,97.09,0.06,29.4,2026-03-05
WFC,83.93,1.7,15367644,12.146462851048714,82.57,93.24,8,2,14621669.05,-0.38,0.62,-3.26,-4.26,65.1,3.42,61.69,5.47,32.84,42.6,-1.57,-0.91,,0.01682,-0.03316,0.14709,0.03725,0.03011,4,0.12066706709580154,0.6996291718170582,0.62,-3.26,92.6,-1.57,28.77,2026-03-05
AVGO,317.53,1.18,20412225,9.093023575494632,313.01,342.83,8,2,22695711.65,0.13,0.64,-4.45,-3.0,101.6,3.83,13.03,46.88,40.09,44.98,-1.06,1.72,,0.01169,-0.0455,0.42207,0.05425,0.01638,6,0.07311684378429599,0.0981458590852905,0.64,-4.45,94.97999999999999,-1.06,27.99,2026-03-05
NVDA,183.04,1.66,169851790,6.622551522903242,176.44,188.52,5,5,183285042.483,0.37,-0.14,-6.4,-1.28,90.96,3.12,57.54,35.78,6.68,49.13,0.81,2.33,,0.01647,-0.06616,0.45053,0.04971,0.03674,9,0.034644980686826185,0.6483312731767615,0.0,-5.0,99.13,0.81,27.88,2026-03-05
KHC,24.04,-0.74,15474892,4.636785162287481,23.7,24.82,6,3,14948220.8,-0.44,0.09,-2.1,-1.7,35.43,2.59,47.31,4.62,48.08,45.66,0.02,0.03,bearish,-0.00746,-0.0212,-0.15498,0.02293,0.00564,5,0.003721282728359074,0.5218788627935724,0.09,-2.1,95.66,0.02,26.7,2026-03-05
AMD,202.07,5.82,36191094,12.51160553237081,195.58,221.68,7,2,38020534.733,0.14,0.13,-4.17,-0.97,196.68,3.93,78.7,2.94,18.36,47.22,-3.78,-2.09,,0.0566,-0.04258,0.67544,0.09288,0.03857,7,0.12635331609915756,0.9098887515451176,0.13,-4.17,97.22,-3.78,26.54,2026-03-05
MSFT,405.2,0.31,37947881,15.118836089236968,404.26,470.38,7,1,31282357.05,-1.09,0.24,1.15,1.15,35.53,2.16,37.66,54.4,7.95,45.55,-10.36,-13.22,,0.00314,0.01142,-0.0795,0.02274,0.01498,7,0.16695487519879615,0.40259579728059336,0.24,1.15,95.55,-10.36,25.15,2026-03-05
PFE,26.62,0.15,33895684,6.959795356918779,25.0,26.8,0,8,43047919.933,0.69,-1.23,-1.73,-1.89,28.84,1.88,33.72,3.49,62.79,48.82,0.26,0.4,,0.0015,-0.0175,0.17797,0.018,0.01721,8,0.039896769954833544,0.35389369592089004,0.0,-1.73,98.82,0.26,24.83,2026-03-05
UBER,76.65,0.38,21768280,12.900714630462895,75.11,85.46,4,2,20393989.367,-0.69,-0.07,5.25,4.45,37.71,3.23,17.51,19.24,63.25,52.81,-1.05,-1.98,,0.00379,0.05112,-0.0773,0.0239,0.00936,5,0.13241278636763365,0.15352286773794813,0.0,5.0,97.19,-1.05,23.97,2026-03-05
AAPL,262.52,-0.47,37994695,8.613434961467327,247.94,270.26,1,6,47870083.267,0.42,-0.54,-4.27,-2.15,79.41,2.65,45.03,31.71,23.26,48.63,2.02,3.43,,-0.00467,-0.04364,0.27939,0.04373,0.01367,8,0.0656483652469209,0.4936959208899877,0.0,-4.27,98.63,2.02,22.2,2026-03-05
BABA,133.27,-1.71,18400684,15.567728108056803,140.82,164.59,8,0,12244751.133,-1.06,0.25,-12.48,-13.16,76.44,2.75,71.55,5.51,22.95,23.99,-5.49,-2.68,,-0.01726,-0.13334,0.06143,0.04426,0.01494,4,0.1739453255766778,0.8215080346106305,0.25,-5.0,73.99,-5.49,20.88,2026-03-05
F,12.81,0.87,92783663,5.429445010655053,13.12,13.86,7,0,66868232.65,-0.17,0.27,-11.23,-7.14,69.7,3.41,39.71,60.29,0.0,37.7,-0.03,0.14,,0.00862,-0.11908,0.20554,0.03933,0.02802,9,0.01606511844885254,0.42793572311495676,0.27,-5.0,87.7,-0.03,20.84,2026-03-05
TSLA,405.94,3.44,62317429,8.870003178387668,399.17,436.22,4,2,70886973.383,-0.08,-0.13,-2.75,-1.04,85.25,3.07,58.92,17.39,23.69,47.31,-4.18,-2.57,,0.03385,-0.02784,0.30824,0.04777,0.02462,9,0.06964381919515218,0.6653893695920892,0.0,-2.75,97.31,-4.18,20.73,2026-03-05
CRM,193.08,-1.51,13122819,31.395181324309824,193.88,266.09,5,0,10282270.9,-1.06,-0.04,0.69,1.55,41.02,4.07,46.76,31.71,21.53,42.8,-7.72,-11.04,,-0.01527,0.00691,-0.35519,0.02617,0.02593,3,0.4204211408681641,0.5150803461063042,0.0,0.69,92.8,-7.72,19.57,2026-03-05
ORCL,152.37,2.25,18443692,19.72230406871831,155.64,189.7,4,0,20697632.067,-0.84,-0.29,3.03,1.15,62.89,4.24,52.33,27.49,20.18,46.53,-5.17,-6.04,,0.0223,0.02984,0.01341,0.0383,0.02435,5,0.2386431947223543,0.5839307787391843,0.0,3.03,96.53,-5.17,19.11,2026-03-05
HIMS,16.45,3.98,26058787,68.61285830892591,17.1,34.96,3,0,29469967.083,-1.06,-0.41,3.98,-4.77,107.48,7.58,61.71,30.84,7.45,32.06,-3.56,-4.31,,0.03905,0.03905,-1.15015,0.07471,0.07789,6,1.0,0.6998763906056862,0.0,3.98,82.06,-3.56,18.48,2026-03-05
NKE,58.64,-1.26,16816524,4.397822859970317,61.77,64.54,6,0,15879819.283,-2.08,0.01,-7.51,-6.92,39.81,3.33,62.5,34.09,3.41,35.8,-0.68,-0.1,,-0.01271,-0.07805,0.00581,0.02501,0.01492,5,0.0,0.7096415327564896,0.01,-5.0,85.8,-0.68,16.65,2026-03-05
BAC,50.3,0.66,51084042,10.038279559666176,49.94,55.21,2,1,38290580.883,-0.27,-0.33,-2.69,-4.63,62.07,2.95,34.17,9.17,56.67,41.29,-0.71,-0.3,,0.00658,-0.02726,0.18535,0.03556,0.02441,7,0.08783700982582883,0.3594561186650186,0.0,-2.69,91.28999999999999,-0.71,14.07,2026-03-05
