simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
MSFT,456.66,-0.59,28117173,17.044468451211834,386.91,459.0,7,8,23045412.35,0.72,-0.0,-4.49,-3.27,37.8,1.68,92.81,0.0,7.19,46.33,7.84,12.78,,-0.00594,-0.0459,0.14465,0.02329,0.01021,6,0.23966228233308046,1.0,-0.0,-4.49,96.33,7.84,39.17,2026-01-16
UBER,84.38,-0.32,14817038,14.362843528408845,74.14,85.61,2,8,19634483.05,0.54,-0.5,-3.66,-0.5,49.29,2.66,39.5,14.92,45.58,49.93,0.36,0.55,,-0.00319,-0.03734,0.10974,0.03086,0.01211,5,0.1832005605212661,0.33111668757841906,0.0,-3.66,99.93,0.36,28.54,2026-01-16
META,620.8,0.86,15280068,15.793705288236188,548.57,642.64,2,7,16142531.1,0.45,-0.41,-3.91,-3.99,52.96,2.04,23.34,33.9,42.76,44.44,4.42,11.67,,0.00854,-0.03988,-0.00884,0.03281,0.01644,4,0.2133274130678517,0.12835633626097864,0.0,-3.91,94.44,4.42,26.25,2026-01-16
V,327.75,-0.43,7892739,5.6618125785785525,335.18,354.71,9,0,6514384.8,-1.25,0.66,-6.95,-6.41,32.1,1.91,29.7,44.36,25.94,30.78,-4.53,-0.83,,-0.00432,-0.07203,-0.05019,0.02027,0.0193,3,0.0,0.2081555834378921,0.66,-5.0,80.78,-4.53,22.74,2026-01-16
CRM,233.53,-2.52,10120836,7.990063897917881,255.09,276.32,9,0,6414682.45,-2.15,1.42,-10.36,-11.07,42.65,2.93,48.68,25.38,25.94,26.14,-8.18,-4.83,,-0.02554,-0.10941,-0.21177,0.02692,0.03034,3,0.049021426219115066,0.4462986198243413,1.42,-5.0,76.14,-8.18,22.16,2026-01-16
KHC,24.24,-0.33,16454292,13.01967880570007,25.83,29.43,5,0,11354937.933,-1.37,0.08,3.46,-1.13,35.42,1.92,13.11,24.59,62.3,40.2,-0.99,-1.14,,-0.00329,0.03399,-0.18273,0.02283,0.01545,4,0.15492017265786723,0.0,0.08,3.46,90.2,-0.99,19.83,2026-01-16
HIMS,31.23,-0.29,14062630,53.15637768838491,28.98,49.95,0,1,33098115.3,-0.57,-0.65,-7.79,-19.48,131.25,5.2,37.63,8.6,53.76,34.06,-3.77,-2.85,,-0.00288,-0.08115,-0.17062,0.08698,0.03285,6,1.0,0.30765370138017567,0.0,-5.0,84.06,-3.77,10.27,2026-01-16
SMCI,29.42,4.07,24119617,17.586181222544862,30.62,36.53,1,0,45337695.267,-1.06,-0.5,-1.61,-10.35,104.52,3.93,54.47,33.85,11.67,39.17,-2.1,-1.76,,0.03987,-0.01618,-0.32308,0.06793,0.03328,7,0.25106806676505916,0.5189460476787955,0.0,-1.61,89.17,-2.1,10.11,2026-01-16
