simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
AMD,220.27,7.26,26311636,9.759241499460135,201.05,221.68,9,8,36291409.65,0.31,0.81,10.43,9.68,63.36,3.51,89.21,10.79,0.0,61.03,-0.62,-3.19,,0.07004,0.09924,0.02426,0.0408,0.03299,7,0.1172032245702345,1.0000000000000002,0.81,5.0,88.97,-0.62,47.19,2026-03-26
INTC,47.18,7.08,64843657,7.463664436392838,44.05,47.46,5,8,104050538.25,0.46,-0.15,4.77,4.14,75.99,5.06,55.42,27.92,16.67,55.01,-0.15,-0.17,bullish,0.06842,0.04664,0.26491,0.04826,0.04338,9,0.07660357524770828,0.6000236742424243,0.0,4.77,94.99000000000001,-0.15,38.24,2026-03-26
JPM,295.42,1.03,7384438,5.323869704309222,296.83,313.07,9,0,10147409.417,-0.74,0.6,2.67,1.31,24.57,2.05,24.42,42.69,32.88,51.04,-3.79,-5.14,,0.01028,0.02634,-0.10434,0.01555,0.00707,3,0.03875909721101652,0.2330729166666667,0.6,2.67,98.96000000000001,-3.79,29.06,2026-03-26
TSM,347.75,1.31,9424187,7.487457898948338,330.23,355.92,3,6,13444074.05,0.23,-0.25,2.41,-0.25,38.28,2.93,25.18,38.85,35.97,50.45,-3.43,-2.53,,0.01302,0.0238,0.13828,0.02404,0.02144,4,0.07702438718709542,0.2420691287878788,0.0,2.41,99.55,-3.43,29.06,2026-03-26
PLTR,154.96,0.12,54262366,18.52972488391615,139.53,168.03,2,5,48845923.067,-0.01,-0.58,1.43,2.29,54.21,3.99,43.21,54.85,1.94,53.99,2.23,1.45,,0.00116,0.01423,-0.19704,0.03456,0.04218,9,0.2723182740829584,0.4554924242424243,0.0,1.43,96.00999999999999,2.23,25.8,2026-03-26
WFC,80.26,0.82,18945792,11.863969005596221,81.94,92.28,6,0,16255264.383,-1.02,0.15,5.34,1.4,28.91,2.35,51.37,36.3,12.33,47.7,-2.24,-2.9,,0.00813,0.05204,-0.17134,0.01838,0.00588,5,0.1544275025277875,0.5520833333333334,0.15,5.0,97.7,-2.24,24.19,2026-03-26
SMCI,24.05,8.19,66050561,6.178260074194449,30.08,32.0,9,0,35932542.2,-2.47,0.94,-20.76,-18.95,97.99,6.47,87.65,8.64,3.7,36.58,-2.05,-1.0,,0.07869,-0.23266,-0.24217,0.06799,0.202,7,0.05386987260599909,0.9815340909090912,0.94,-5.0,86.58,-2.05,23.57,2026-03-26
HIMS,20.84,-2.34,26290039,59.67415610691087,16.47,30.48,3,3,32361547.633,-0.52,-0.4,-9.98,0.57,116.43,9.89,60.14,20.98,18.88,47.25,0.42,0.28,,-0.02371,-0.10512,-0.49856,0.06787,0.05428,6,0.9999999999999999,0.6558948863636365,0.0,-5.0,97.25,0.42,22.4,2026-03-26
WMT,123.06,0.83,17245866,7.118470816722885,117.94,126.64,0,5,30641899.783,0.15,-0.27,0.89,-1.0,26.0,2.09,14.62,25.15,60.23,48.33,-0.77,-0.29,,0.00824,0.00881,0.0965,0.01633,0.01346,6,0.07049846985505925,0.11706912878787878,0.0,0.89,98.33,-0.77,20.38,2026-03-26
HOOD,72.54,5.01,28202247,34.12886196096667,75.8,106.99,5,0,28558988.583,-1.0,-0.1,-3.15,-4.73,70.63,4.19,25.99,74.01,0.0,42.35,-3.48,-3.62,,0.04887,-0.03202,-0.48765,0.04457,0.04224,6,0.5482051111016385,0.25165719696969696,0.0,-3.15,92.35,-3.48,18.21,2026-03-26
