simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
WFC,91.91,-2.85,20528828,23.857395792695733,73.37,93.24,9,8,15334300.4,0.86,0.91,-0.43,1.89,62.99,2.75,45.62,13.24,41.14,56.18,1.87,1.92,bearish,-0.02895,-0.00434,0.35089,0.03575,0.01971,5,0.25581413604913533,0.5577092511013215,0.91,-0.43,93.82,1.87,44.73,2026-02-11
GOOGL,318.58,-1.77,39540408,67.50772675041222,162.91,328.93,8,8,37142287.883,0.82,0.11,-6.22,-4.0,172.06,3.24,33.57,10.2,56.23,53.97,13.25,20.02,,-0.01786,-0.06422,0.74553,0.07996,0.01219,7,0.9104385671696802,0.406041535556954,0.11,-5.0,96.03,13.25,42.86,2026-02-11
HOOD,85.6,-1.11,40073126,66.77462228265021,54.5,109.14,9,5,32230908.167,0.12,0.56,-1.69,-13.78,187.06,6.22,9.47,87.04,3.49,41.49,-3.75,-0.36,,-0.01115,-0.01703,0.73173,0.09022,0.09454,6,0.8994441924506085,0.10270610446821901,0.56,-1.69,91.49000000000001,-3.75,39.17,2026-02-11
LLY,1025.0,-1.88,2720251,31.27353193419899,776.32,1064.1,5,7,3780971.133,0.65,-0.11,2.15,-2.31,113.38,3.46,80.76,15.7,3.54,50.11,16.75,25.87,,-0.01901,0.02124,0.19909,0.06124,0.06703,3,0.3670340007380617,0.9999999999999999,0.0,2.15,99.89,16.75,38.19,2026-02-11
F,13.57,-0.15,53914368,28.64864864864865,10.3,13.75,6,8,76033305.533,0.84,0.13,-1.17,-1.19,67.33,1.81,38.24,61.76,0.0,53.86,0.27,0.39,,-0.00147,-0.01172,0.34298,0.03764,0.00921,9,0.3276686009836881,0.46482064191315287,0.13,-1.17,96.14,0.27,37.79,2026-02-11
KHC,24.9,1.3,13290114,17.2353961827646,23.7,28.17,9,3,13218307.75,-0.4,1.62,4.32,4.74,34.42,2.42,40.25,34.59,25.16,57.06,-0.08,-0.38,,0.01293,0.04225,-0.16817,0.02229,0.01138,4,0.1565039445243374,0.49011957205789797,1.62,4.32,92.94,-0.08,37.63,2026-02-11
ORCL,159.89,2.11,49506363,23.80179819647098,149.35,189.7,9,3,17218119.3,-0.25,1.9,3.37,-6.14,61.87,5.05,1.31,64.09,34.6,45.01,-7.52,-4.82,,0.02086,0.03319,0.21762,0.0376,0.06847,5,0.2549803383664659,0.0,1.9,3.37,95.00999999999999,-7.52,36.85,2026-02-11
AMZN,206.96,-0.84,90894780,21.07619417277992,192.81,238.24,9,3,46016682.25,-0.36,0.87,-13.27,-11.23,44.86,3.36,28.61,62.59,8.8,30.84,-2.68,2.46,,-0.00847,-0.14235,0.18149,0.02752,0.02213,8,0.21410442873826613,0.34361233480176206,0.87,-5.0,80.84,-2.68,30.81,2026-02-11
AVGO,340.44,-1.02,29825713,48.4333381888218,208.09,341.08,0,8,22608765.367,0.94,-0.81,6.28,2.6,101.63,4.42,79.29,13.36,7.35,59.97,7.61,9.9,,-0.01023,0.06089,0.68863,0.05436,0.04145,6,0.6243797793634909,0.9814977973568282,0.0,5.0,90.03,7.61,30.18,2026-02-11
TSLA,425.21,1.89,52801785,38.07265665365014,296.7,436.22,1,8,84324422.517,0.68,-0.65,0.77,-0.61,89.08,3.39,69.46,19.9,10.63,53.36,2.67,7.43,,0.01873,0.00767,0.56625,0.05044,0.03046,9,0.46900053922547547,0.857772183763373,0.0,0.77,96.64,2.67,29.9,2026-02-11
