simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
GOOGL,309.0,-0.63,45293144,66.93108744769836,163.98,328.93,9,8,37706547.517,0.66,0.52,-6.72,-6.15,172.12,3.52,34.46,47.34,18.19,46.32,8.71,16.29,,-0.00632,-0.06953,0.71295,0.07999,0.01281,7,0.8439098839280774,0.3240762258889147,0.52,-5.0,96.32,8.71,44.72,2026-02-13
AAPL,261.73,-5.0,51397410,23.2529559646696,208.68,263.58,9,8,50574496.783,0.76,1.25,-5.14,-0.25,79.44,2.52,89.25,0.77,9.97,51.04,7.2,7.9,bearish,-0.05127,-0.05276,0.2703,0.04375,0.02425,8,0.23429528548815864,0.960725075528701,1.25,-5.0,98.96000000000001,7.2,44.27,2026-02-13
BAC,52.52,-2.47,48399085,24.327069578466233,43.24,55.21,9,7,37351769.267,0.54,1.62,-4.4,-1.8,60.42,2.48,64.65,1.4,33.95,46.83,0.93,1.19,,-0.02501,-0.04505,0.31522,0.0344,0.02327,7,0.24928666257140009,0.674877992098536,1.62,-4.4,96.83,0.93,42.08,2026-02-13
NVDA,186.94,-1.64,143535658,37.60648751970518,128.2,187.57,6,8,185478274.783,0.86,0.03,8.76,0.77,90.03,3.41,85.9,8.04,6.07,56.57,4.49,5.74,,-0.0165,0.08399,0.63678,0.04904,0.03653,9,0.434627169614603,0.9217987450615851,0.03,5.0,93.43,4.49,41.69,2026-02-13
AVGO,331.17,-3.38,16980271,40.715142789741684,226.85,342.83,4,8,22486506.833,0.75,-0.12,6.65,0.11,101.73,4.77,79.69,10.69,9.62,54.0,7.4,9.12,,-0.0344,0.06442,0.66931,0.05443,0.04006,6,0.47801459416292136,0.8496397861956775,0.0,5.0,96.0,7.4,38.37,2026-02-13
INTC,46.48,-3.75,106588122,78.11475107786417,20.67,47.17,4,8,98979496.5,0.93,-0.23,-3.65,-3.71,176.39,6.37,47.83,41.67,10.51,52.91,2.59,3.51,,-0.0382,-0.03717,0.86809,0.08777,0.04519,9,1.0,0.47943295375319545,0.0,-3.65,97.09,2.59,34.69,2026-02-13
WFC,86.29,-2.99,15457328,23.45839886167902,73.67,93.24,7,6,15259477.817,0.27,0.3,-6.22,-3.94,63.55,3.3,73.04,15.72,11.25,41.88,0.97,1.64,,-0.03036,-0.06418,0.26458,0.03613,0.02499,5,0.23716264690931727,0.7723681152684175,0.3,-5.0,91.88,0.97,34.3,2026-02-13
JPM,302.64,-2.63,8695908,19.724494793458017,260.52,317.52,6,6,9365747.567,0.42,0.12,-2.42,-1.88,54.42,2.58,70.87,9.86,19.27,45.95,3.48,4.6,,-0.02667,-0.02454,0.25045,0.0315,0.02643,3,0.1850486403830499,0.7471531489658378,0.12,-2.42,95.95,3.48,33.74,2026-02-13
AMD,205.94,-3.58,32731952,67.53258568278156,109.76,221.68,2,7,38690273.617,0.54,-0.43,6.98,-11.2,194.92,5.99,72.84,21.15,6.01,45.77,3.33,10.45,,-0.03643,0.06749,0.87022,0.09162,0.04512,7,0.8523049798855371,0.7700441552405299,0.0,5.0,95.77000000000001,3.33,33.2,2026-02-13
HOOD,71.12,-8.79,68323080,58.31015916217975,59.87,109.14,9,2,33454809.417,-0.44,1.44,-2.15,-24.93,189.1,8.12,90.78,1.17,8.05,31.8,-5.52,-2.06,,-0.09196,-0.0217,0.52456,0.09188,0.09515,6,0.7235878015377678,0.9785033697420406,1.44,-2.15,81.8,-5.52,32.7,2026-02-13
LLY,1038.27,2.27,2577220,31.27353193419899,776.32,1064.1,2,8,3634724.25,0.69,-0.41,1.71,-0.58,113.28,3.56,28.01,45.09,26.9,51.98,12.4,21.3,,0.02246,0.01693,0.22685,0.06118,0.02427,3,0.34623826548539893,0.2491285149895422,0.0,1.71,98.02000000000001,12.4,32.49,2026-02-13
KHC,24.32,-2.68,37704886,16.43026576947282,23.7,27.94,9,2,13911875.867,-0.6,0.73,-0.51,1.99,34.48,2.8,25.64,50.43,23.93,49.81,-0.01,-0.26,,-0.02718,-0.00513,-0.21654,0.02233,0.01567,4,0.13907116755076632,0.22158958865907508,0.73,-0.51,99.81,-0.01,32.49,2026-02-13
BABA,158.73,-3.4,8669577,28.48020842658345,123.56,164.59,3,7,13327221.7,0.65,-0.28,0.61,-5.1,75.81,3.02,68.49,3.9,27.61,47.62,2.62,4.83,,-0.03461,0.00613,0.31465,0.04388,0.02602,4,0.3072519185289253,0.7194980246339763,0.0,0.61,97.62,2.62,31.32,2026-02-13
META,649.81,-2.82,14316917,8.309838146184353,610.75,663.7,5,6,15256219.45,0.34,-0.05,-3.04,-2.27,40.78,3.29,62.79,22.46,14.75,46.59,7.69,12.15,,-0.02864,-0.03091,0.26151,0.02513,0.0191,4,0.02573456049707666,0.653265163839182,0.0,-3.04,96.59,7.69,31.3,2026-02-13
ORCL,156.48,-0.43,24318455,23.1567776836864,150.33,189.7,7,2,17624142.033,-0.48,0.3,14.65,-5.87,60.84,5.39,22.21,16.85,60.95,42.95,-6.81,-5.58,,-0.00434,0.13675,0.20685,0.03691,0.04343,5,0.2329529276044887,0.1817336741808041,0.3,5.0,92.95,-6.81,29.81,2026-02-13
TSLA,417.07,-2.62,56462222,27.683009910046056,330.15,436.22,1,7,83267534.15,0.52,-0.71,5.0,-2.05,87.98,3.68,59.74,26.45,13.81,49.78,2.55,5.79,,-0.0265,0.04879,0.56111,0.04963,0.02256,9,0.29612543859411694,0.6178247734138973,0.0,5.0,99.78,2.55,29.72,2026-02-13
MSFT,401.84,-0.63,42473205,11.061161949006925,421.08,470.38,9,0,28946832.017,-1.29,0.58,2.08,-7.68,38.49,2.99,38.58,14.65,46.76,34.92,-14.98,-10.82,,-0.00628,0.02054,0.09118,0.02444,0.02073,6,0.06413471861481966,0.3719498024633976,0.58,2.08,84.92,-14.98,25.89,2026-02-13
PLTR,129.13,-4.83,52441744,32.00396484568116,123.06,169.94,6,2,68311477.833,-0.57,0.14,-0.68,-15.73,134.7,6.56,66.67,5.79,27.55,35.87,-6.71,-3.28,,-0.04948,-0.00679,0.31763,0.07211,0.04552,9,0.3564328995253995,0.6983499883801999,0.14,-0.68,85.87,-6.71,24.91,2026-02-13
AMZN,199.6,-2.25,65493575,17.13327931090166,200.64,238.24,9,0,46874821.467,-0.77,1.3,-10.37,-12.98,44.26,3.54,63.61,4.11,32.28,26.93,-5.64,-0.23,,-0.02276,-0.10947,0.14198,0.02713,0.02061,8,0.1488831101225883,0.6627933999535208,1.3,-5.0,76.93,-5.64,24.27,2026-02-13
