simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
KHC,24.44,-0.41,18536500,3.797795829668342,23.7,24.62,9,7,15267166.633,-0.06,0.83,-0.29,0.01,35.3,2.41,10.0,48.0,42.0,51.42,0.04,0.04,,-0.00408,-0.00286,-0.10589,0.02286,0.01044,5,1.610056254365555e-05,0.07472111134498001,0.83,-0.29,98.58,0.04,42.56,2026-03-10
HIMS,22.16,40.79,14466800,70.48012187331074,16.47,34.4,9,3,29487827.4,-0.58,5.03,34.47,34.97,133.13,6.01,41.54,11.61,46.85,57.0,-2.54,-3.75,,0.34208,0.29614,-1.01455,0.08504,0.16124,6,0.9999999999999998,0.40665123131972214,3.0,5.0,93.0,-2.54,41.37,2026-03-10
PFE,26.81,-0.89,53116700,6.81173947644589,25.14,26.91,5,8,42566471.183,0.73,0.01,-1.65,-1.19,26.85,2.03,13.25,26.49,60.26,51.03,0.18,0.31,,-0.00891,-0.01665,0.19682,0.01672,0.01528,8,0.04521391082814266,0.10892443696063986,0.01,-1.65,98.97,0.18,34.61,2026-03-10
AMZN,213.49,0.13,51090300,14.454330097899579,206.13,238.24,9,2,47343004.067,-0.51,0.3,2.45,2.61,40.58,2.62,45.31,4.92,49.78,48.44,-2.37,-4.07,,0.00131,0.02418,0.01529,0.02492,0.02308,8,0.15982400356011384,0.4463270890338876,0.3,2.45,98.44,-2.37,33.55,2026-03-10
PLTR,156.43,-0.46,74824200,24.67134703080403,132.62,169.94,4,6,53129923.317,0.22,-0.27,7.76,11.9,129.1,3.95,13.53,36.75,49.73,61.29,1.15,-2.35,,-0.00466,0.0747,0.18369,0.06777,0.01958,9,0.3130408008640586,0.11187118501368132,0.0,5.0,88.71000000000001,1.15,32.32,2026-03-10
INTC,45.58,4.97,74467100,19.337963904792353,38.85,47.17,3,7,98040758.733,0.45,-0.32,0.18,-0.49,176.9,4.59,68.93,4.37,26.7,51.12,0.06,0.41,,0.04855,0.00176,0.75049,0.08805,0.05407,9,0.23306012874334495,0.6949063355083142,0.0,0.18,98.88,0.06,30.93,2026-03-10
AMD,202.68,5.33,33813900,10.659983569348153,199.24,221.68,7,2,37528482.783,0.06,0.07,2.04,-0.51,196.89,3.99,97.92,2.08,0.0,48.49,-4.0,-3.22,,0.0519,0.02023,0.54332,0.09295,0.04696,7,0.10292308749197102,1.0,0.07,2.04,98.49000000000001,-4.0,29.79,2026-03-10
ORCL,151.56,-0.92,37916400,20.456424707744514,154.5,189.7,9,0,21836255.383,-0.87,0.84,1.55,-0.49,61.97,4.31,15.45,7.91,76.64,45.74,-3.79,-5.2,,-0.00919,0.01536,-0.07246,0.0377,0.01522,5,0.24983283091891165,0.13207745737739424,0.84,1.55,95.74000000000001,-3.79,28.82,2026-03-10
SMCI,31.98,2.14,21094600,8.480228680323968,30.15,32.82,3,6,36142132.633,-0.24,-0.32,0.47,0.71,87.3,5.24,55.41,7.79,36.8,50.19,-0.07,-0.17,,0.02117,0.0047,-0.34155,0.05797,0.04089,7,0.07023496871942436,0.552620500947169,0.0,0.47,99.81,-0.07,28.73,2026-03-10
META,647.39,0.39,13128500,3.7967221894211076,640.41,665.19,6,3,13734760.083,-0.27,-0.04,-0.94,-0.81,35.08,2.62,60.13,1.72,38.15,46.78,-1.91,-1.82,bearish,0.00392,-0.00949,-0.01832,0.02167,0.01631,4,0.0,0.6022942538412966,0.0,-0.94,96.78,-1.91,27.35,2026-03-10
WMT,124.34,0.44,21548500,11.679655669543058,112.66,126.64,2,7,30339815.433,0.63,-0.21,-2.17,-2.11,37.99,2.4,32.49,8.23,59.28,49.6,1.02,1.93,,0.00435,-0.02195,0.25006,0.02303,0.01778,6,0.1182143309652886,0.3114081246053462,0.0,-2.17,99.6,1.02,27.01,2026-03-10
NVDA,182.65,2.72,188472400,4.873936896025587,179.56,188.52,5,3,181189477.433,0.27,-0.1,0.09,-1.81,90.04,3.06,79.18,3.54,17.28,49.05,-0.22,1.02,,0.0268,0.00093,0.29978,0.04903,0.02295,9,0.0161541659800037,0.8027783624500107,0.0,0.09,99.05,-0.22,26.51,2026-03-10
V,315.97,-0.44,6438700,9.708188702282934,320.92,353.66,9,0,7044457.2,-1.13,0.48,-1.42,-0.94,23.54,2.19,41.15,4.59,54.26,42.05,-3.44,-4.35,,-0.00439,-0.01427,-0.12057,0.01493,0.00331,3,0.08864974702677023,0.4025468322458429,0.48,-1.42,92.05,-3.44,26.17,2026-03-10
JPM,289.92,0.15,13491200,6.463301715799838,297.64,317.52,9,0,9652642.067,-0.63,0.83,-2.57,-4.41,55.21,2.7,41.5,11.08,47.42,37.83,-3.84,-2.06,,0.00152,-0.02601,0.08746,0.03203,0.01162,3,0.039988655932654285,0.4062302673121448,0.83,-2.57,87.83,-3.84,25.84,2026-03-10
BAC,47.9,-1.52,47001400,10.038279559666176,49.94,55.21,9,0,38647183.95,-0.95,1.67,-3.83,-7.38,61.92,2.97,2.9,15.22,81.88,32.39,-1.1,-0.65,,-0.01533,-0.0391,0.06825,0.03543,0.01269,7,0.09359986743076923,0.0,1.67,-3.83,82.39,-1.1,25.21,2026-03-10
WFC,78.83,-1.98,16798400,12.146462851048714,82.57,93.24,9,0,14911949.25,-1.17,1.77,-4.54,-8.1,65.25,3.66,20.48,12.29,67.24,33.06,-2.22,-1.48,,-0.01997,-0.04647,0.03288,0.03733,0.01705,4,0.12521468163304908,0.1850136813302463,1.77,-4.54,83.06,-2.22,24.97,2026-03-10
CRM,198.79,-1.64,9653200,30.583967638636693,193.88,263.89,5,1,10603485.05,-0.83,0.03,3.03,3.97,40.72,3.82,3.0,61.93,35.07,47.84,-4.77,-8.45,,-0.01656,0.02982,-0.38018,0.02599,0.02435,3,0.40170785497139616,0.0010524100189433817,0.03,3.03,97.84,-4.77,23.23,2026-03-10
MSFT,409.41,0.11,31085000,15.118836089236968,404.26,470.38,5,1,31920048.7,-0.89,-0.11,2.72,1.95,35.22,2.09,66.99,11.92,21.09,48.21,-6.77,-10.64,,0.0011,0.02688,-0.10104,0.02255,0.00782,7,0.169789092240167,0.6744895811408125,0.0,2.72,98.21000000000001,-6.77,22.8,2026-03-10
