simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
ORCL,182.44,2.98,22951800,30.575218257735102,139.39,189.7,9,7,12670191.017,0.85,0.82,-4.53,-4.59,62.67,3.85,49.34,42.25,8.42,51.25,3.13,6.69,,0.02937,-0.04632,0.22377,0.03796,0.03827,4,0.31838663588386074,0.5345322153574582,0.82,-4.53,98.75,3.13,41.38,2026-01-27
AAPL,255.41,2.97,41625700,24.871217724723454,199.53,256.2,6,8,58848495.183,1.09,-0.11,-0.05,-2.04,90.7,1.95,58.14,17.01,24.85,59.18,5.88,8.95,,0.02928,-0.00047,0.13172,0.05141,0.02301,8,0.24153281047188915,0.6316195939982349,0.0,-0.05,90.82,5.88,37.91,2026-01-27
AVGO,324.85,1.5,30224400,56.349628465618096,187.4,334.42,5,8,25738776.917,1.05,-0.17,-7.64,-4.88,112.17,3.61,44.22,34.57,21.21,56.67,17.36,25.18,,0.01489,-0.07944,0.63535,0.06158,0.02549,6,0.6656625540309624,0.478045013239188,0.0,-5.0,93.33,17.36,35.99,2026-01-27
JPM,301.04,1.12,11100600,23.473540954196963,243.47,308.22,3,8,10651517.833,0.79,-0.28,-3.66,-5.28,61.28,2.14,75.64,17.1,7.26,49.79,5.16,10.21,,0.01109,-0.03727,0.20264,0.03625,0.01779,3,0.22270097378415724,0.8246910856134158,0.0,-3.66,99.78999999999999,5.16,31.37,2026-01-27
LLY,1062.75,-0.14,2591600,35.00865523299592,746.77,1063.68,0,8,3840651.4,1.24,-1.1,2.34,-0.65,115.24,3.17,2.27,18.22,79.5,60.86,49.71,59.16,,-0.00145,0.02318,0.26148,0.0624,0.0204,3,0.37812130619108364,0.015225066195939982,0.0,2.34,89.14,49.71,30.96,2026-01-27
TSLA,435.2,-3.09,56636400,45.48827376153818,274.56,436.22,0,8,101404581.7,1.09,-1.23,-0.53,-2.26,105.14,2.98,91.53,0.0,8.47,56.88,19.57,25.31,,-0.03135,-0.00527,0.43121,0.06044,0.0363,9,0.5193202363306304,1.0,0.0,-0.53,93.12,19.57,28.47,2026-01-27
HOOD,107.0,0.01,17635900,81.16376048559792,46.13,109.14,0,8,35863334.55,1.06,-1.28,-1.6,-6.46,191.13,4.34,20.77,40.71,38.52,58.78,7.41,10.89,,9e-05,-0.01613,0.9191,0.09301,0.01387,7,1.0,0.21932921447484555,0.0,-1.6,91.22,7.41,27.22,2026-01-27
WFC,88.05,1.25,15227000,24.039480552348095,69.53,88.52,0,8,17550918.2,0.88,-0.82,-0.37,-4.51,69.66,2.15,80.14,19.86,0.0,52.64,1.68,3.12,,0.01246,-0.00374,0.19763,0.04056,0.01744,5,0.23032625762105477,0.8743380406001766,0.0,-0.37,97.36,1.68,26.4,2026-01-27
PLTR,167.47,-1.26,30210700,46.307709025737054,106.04,169.94,0,8,80328652.967,0.97,-1.32,-2.04,-5.04,138.36,3.95,22.67,72.89,4.44,54.97,7.28,10.91,,-0.01264,-0.02063,0.64974,0.07435,0.01692,9,0.5303610373205108,0.24029126213592236,0.0,-2.04,95.03,7.28,26.07,2026-01-27
KHC,23.58,1.64,14246400,17.922568460812087,24.1,28.85,8,0,12515100.217,-1.28,0.43,0.21,-0.3,37.82,2.31,71.7,28.3,0.0,42.19,-0.87,-0.99,,0.01625,0.00212,-0.24512,0.02437,0.03343,4,0.14790899780094136,0.7812224183583408,0.43,0.21,92.19,-0.87,25.61,2026-01-27
BAC,52.02,0.58,34532500,27.872409677769355,39.66,52.51,0,8,46197116.25,0.91,-0.83,-1.79,-4.46,68.82,1.95,36.36,42.15,21.49,53.29,1.25,2.08,,0.00578,-0.0181,0.21754,0.04053,0.01109,8,0.28196988284807656,0.3913283318623125,0.0,-1.79,96.71000000000001,1.25,25.23,2026-01-27
NIO,4.61,-0.65,36330400,20.39122703023119,3.79,4.65,0,8,40998766.417,0.78,-0.84,-2.12,-4.44,87.99,3.52,15.38,53.85,30.77,51.04,0.09,0.14,,-0.00649,-0.02146,0.19323,0.05095,0.02635,7,0.18117089067733108,0.15986319505736982,0.0,-2.12,98.96000000000001,0.09,24.77,2026-01-27
V,328.49,0.71,5665900,6.9449366022635255,330.9,354.71,8,0,6509119.383,-0.98,0.35,0.06,-3.7,31.29,1.91,7.03,50.36,42.61,34.92,-7.04,-5.22,,0.00706,0.00058,-0.05289,0.01976,0.00551,3,0.0,0.0677405119152692,0.35,0.06,84.92,-7.04,23.26,2026-01-27
UBER,81.98,-0.4,14684200,10.434141395520333,77.12,85.61,1,5,20007060.467,0.08,-0.63,-3.38,-2.01,48.88,3.1,26.06,69.01,4.93,43.31,-0.3,0.12,,-0.00402,-0.03441,0.09568,0.03059,0.01031,5,0.04701239673026261,0.2776919682259488,0.0,-3.38,93.31,-0.3,19.95,2026-01-27
CRM,229.4,0.59,9403800,9.405620571573689,249.19,273.79,5,0,6968761.533,-1.68,0.05,1.01,-7.33,43.25,2.99,0.89,45.01,54.1,32.12,-12.06,-9.94,,0.0059,0.01003,-0.16864,0.0273,0.02175,3,0.03315444573977819,0.0,0.05,1.01,82.12,-12.06,15.98,2026-01-27
HIMS,30.28,2.23,14164100,53.75920751841503,28.79,49.95,0,1,32404955.267,-0.63,-0.66,-3.51,-6.68,128.83,5.69,41.83,43.79,14.38,36.47,-3.51,-3.41,,0.02204,-0.03568,-0.03057,0.08545,0.04427,6,0.6307600749607607,0.4516769638128862,0.0,-3.51,86.47,-3.51,10.25,2026-01-27
SMCI,30.8,-2.84,34389200,15.740984469597267,30.62,35.86,0,1,44375311.933,-0.68,-0.98,-5.64,0.95,105.27,4.74,73.86,10.23,15.91,44.8,-0.98,-1.31,,-0.0288,-0.05802,-0.1304,0.06823,0.02693,7,0.11851505328567818,0.805052956751986,0.0,-5.0,94.8,-0.98,9.36,2026-01-27
