simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
PFE,26.97,-1.61,40673127,5.866160417655441,25.56,27.11,9,8,42561711.1,0.66,1.83,1.47,-0.23,26.62,2.29,58.67,18.67,22.67,50.76,0.14,0.16,,-0.01618,0.01457,0.15144,0.01657,0.01746,8,0.04682404278049562,0.7064520033894202,1.83,1.47,99.24000000000001,0.14,46.69,2026-03-23
CTVA,77.33,-0.95,3924910,9.93186671638248,70.09,77.41,9,8,3527122.983,0.85,4.02,-2.37,-1.37,24.46,2.51,68.31,0.0,31.69,49.93,0.96,1.24,,-0.00952,-0.02402,0.09503,0.01545,0.01096,3,0.11564511320258233,0.8231448977121414,3.0,-2.37,99.93,0.96,46.22,2026-03-23
EXE,107.32,-0.58,8983153,4.905268894030876,104.01,109.24,9,6,3653342.6,0.17,3.64,0.28,0.61,36.55,3.06,32.1,27.68,40.22,51.42,0.2,0.11,,-0.00585,0.0028,-0.07242,0.0231,0.01424,3,0.03055882872997326,0.3848202396804261,3.0,0.28,98.58,0.2,43.32,2026-03-23
MRK,114.18,-0.02,6353344,9.233804669516608,108.77,119.3,9,5,11193442.667,0.07,4.41,-1.24,-3.35,81.32,2.22,2.85,37.8,59.35,42.17,-0.41,0.47,,-0.00018,-0.01245,0.40481,0.04409,0.00579,3,0.10382886929401872,0.03074688294395352,3.0,-1.24,92.17,-0.41,39.83,2026-03-23
HIMS,22.02,-8.86,29697564,62.17643675155572,16.47,31.34,8,3,31846103.333,-0.42,0.04,-11.1,11.05,135.75,9.47,75.69,11.76,12.55,50.38,0.56,-0.28,,-0.09275,-0.11768,-0.88474,0.08681,0.05805,6,1.0,0.9124803292579591,0.04,-5.0,99.62,0.56,33.05,2026-03-23
CRM,195.38,0.2,9224511,19.459731538164462,193.36,235.04,9,1,11718802.7,-0.69,1.57,1.32,0.36,41.52,3.75,38.27,5.11,56.61,46.82,-2.39,-3.59,,0.002,0.01314,-0.34556,0.02648,0.01609,4,0.2769252961998844,0.4595085340757778,1.57,1.32,96.82,-2.39,32.27,2026-03-23
WFC,77.6,1.58,18409256,12.146462851048714,82.57,93.24,9,0,15824304.2,-1.46,3.82,4.72,-3.08,65.35,2.64,70.18,18.71,11.11,39.07,-2.98,-2.91,,0.01572,0.04615,0.05116,0.0374,0.00939,5,0.15313205036478347,0.8457813823992254,3.0,4.72,89.07,-2.98,31.81,2026-03-23
UBER,73.89,-1.92,11427037,10.618391541172715,73.88,82.17,9,1,19309969.867,-0.83,0.85,0.76,-0.85,36.32,2.97,56.19,0.0,43.81,46.08,-0.3,-0.62,,-0.01943,0.00761,-0.17771,0.02308,0.02689,5,0.12726606411293032,0.6764314247669774,0.85,0.76,96.08,-0.3,31.04,2026-03-23
INTC,43.87,-5.0,73736652,8.003505984825651,43.81,47.46,9,1,101999332.3,-0.2,1.27,-4.15,-3.32,177.72,5.59,78.77,15.35,5.88,46.06,-0.04,0.16,,-0.05132,-0.0424,0.76717,0.08877,0.0347,9,0.08300334324807015,0.9497639510955089,1.27,-4.15,96.06,-0.04,29.8,2026-03-23
PLTR,150.68,-3.21,33742321,20.079656327260206,138.93,169.94,5,4,48030237.683,-0.27,0.02,-0.18,2.06,129.19,4.03,59.79,19.18,21.03,51.89,2.34,1.68,,-0.03264,-0.00179,0.19681,0.06785,0.02246,9,0.2874188942200152,0.7200096840576201,0.02,-0.18,98.11,2.34,29.29,2026-03-23
WMT,119.02,-1.71,17820579,7.417416495204172,117.58,126.64,9,2,30384112.017,-0.36,0.53,-5.93,-4.73,38.61,2.23,49.09,20.43,30.49,38.07,-0.49,0.43,,-0.01724,-0.06111,0.20211,0.02344,0.00872,6,0.07308248249836144,0.5904854133882097,0.53,-5.0,88.07,-0.49,29.24,2026-03-23
JPM,286.56,-0.49,9823819,6.463301715799838,297.64,317.52,9,0,9976276.283,-1.3,3.55,1.1,-2.08,55.06,2.2,27.94,48.35,23.71,38.52,-5.02,-4.83,,-0.00491,0.01095,0.08393,0.03193,0.00518,3,0.056931979830547375,0.33446314005568334,3.0,1.1,88.52000000000001,-5.02,29.11,2026-03-23
BAC,47.16,0.32,31836936,10.038279559666176,49.94,55.21,9,0,39328055.183,-1.59,2.82,0.94,-3.56,61.76,2.43,3.9,38.96,57.14,35.26,-1.43,-1.32,,0.00319,0.00937,0.06799,0.03532,0.00658,7,0.11744638590733592,0.043457208570390995,2.82,0.94,85.25999999999999,-1.43,28.48,2026-03-23
AMD,201.33,-1.92,32065632,10.179371527346245,200.21,221.68,7,1,35445390.717,-0.51,0.11,4.11,0.43,196.78,3.96,44.28,17.54,38.18,49.04,-2.24,-2.98,,-0.01938,0.04024,0.5788,0.0929,0.0187,7,0.11983467948543844,0.5322600169471009,0.11,4.11,99.03999999999999,-2.24,28.23,2026-03-23
GOOGL,301.0,-2.0,24934204,6.925512522657503,306.91,328.93,9,0,32593586.583,-0.63,0.94,-0.42,-1.75,171.68,2.09,57.7,6.99,35.32,43.3,-1.39,-1.33,bearish,-0.02016,-0.00424,0.55752,0.07943,0.01528,7,0.06475591991656897,0.694710083524997,0.94,-0.42,93.3,-1.39,28.18,2026-03-23
AAPL,247.99,-0.39,34568663,5.312091213080036,256.27,270.26,9,0,45261979.383,-1.14,2.53,-0.85,-4.61,78.33,1.92,0.31,37.81,61.87,36.4,-3.43,-1.72,,-0.0039,-0.00855,0.21297,0.04296,0.01063,8,0.03744519616810446,0.0,2.53,-0.85,86.4,-3.43,27.37,2026-03-23
ORCL,149.68,-3.76,21928538,21.56847224804077,152.77,189.7,9,0,25655797.717,-0.91,0.96,-3.5,-1.41,65.11,4.39,63.59,3.77,32.64,44.29,-1.36,-1.98,,-0.03827,-0.03563,-0.09045,0.03961,0.02082,6,0.3126203961980709,0.7660089577532987,0.96,-3.5,94.28999999999999,-1.36,27.3,2026-03-23
AMZN,205.37,-1.62,35932990,13.205654995144869,208.73,238.24,9,0,47517215.883,-1.12,0.68,-1.11,-2.6,40.67,2.38,63.04,4.35,32.61,40.92,-2.04,-2.12,,-0.01637,-0.01114,0.00317,0.02498,0.01962,8,0.17106121980877054,0.7593511681394505,0.68,-1.11,90.92,-2.04,27.17,2026-03-23
AVGO,310.51,-2.92,23203803,5.6773737951432395,324.18,343.12,9,0,25643765.833,-1.24,2.0,-3.62,-4.8,102.06,3.99,82.92,11.99,5.09,40.16,-2.25,0.06,,-0.0296,-0.03683,0.25996,0.05456,0.0176,5,0.04362841169255206,1.0,2.0,-3.62,90.16,-2.25,26.87,2026-03-23
F,11.52,-1.03,46825163,5.429445010655053,13.12,13.86,9,0,63363242.283,-1.99,3.05,-1.29,-8.94,70.63,3.06,38.71,12.9,48.39,29.23,-0.52,-0.42,,-0.01036,-0.01294,0.12464,0.03997,0.01403,9,0.03943166872017698,0.46483476576685634,3.0,-1.29,79.23,-0.52,26.82,2026-03-23
HOOD,70.89,-4.41,21440117,35.744853189335146,76.04,109.14,9,0,27915247.25,-1.15,0.49,-3.41,-7.42,189.46,4.97,62.96,8.83,28.21,38.48,-2.84,-2.91,,-0.0451,-0.03466,0.08459,0.09191,0.03282,6,0.552586994719124,0.7583827623774362,0.49,-3.41,88.47999999999999,-2.84,26.62,2026-03-23
V,301.62,0.64,6796969,4.45108744473331,317.19,331.63,9,0,7206906.817,-1.59,2.44,-1.8,-3.24,23.42,1.95,45.27,33.25,21.48,33.9,-6.02,-5.13,,0.00635,-0.01814,-0.17619,0.01487,0.01633,3,0.022870803277593735,0.5442440382520276,2.44,-1.8,83.9,-6.02,26.35,2026-03-23
NVDA,172.7,-3.28,168466737,3.0999609892398494,182.77,188.52,9,0,175376334.85,-1.44,1.36,-4.19,-5.69,90.31,2.89,81.04,3.98,14.98,38.56,-1.52,-0.45,,-0.03337,-0.04279,0.24769,0.04922,0.01761,9,0.0,0.9772424645926644,1.36,-4.19,88.56,-1.52,25.51,2026-03-23
MSFT,381.87,-1.84,24689447,16.06311133732321,400.44,470.38,9,0,33360374.433,-1.35,1.0,-3.46,-4.24,35.18,1.96,71.51,3.05,25.44,32.33,-7.22,-6.8,bearish,-0.01855,-0.0352,-0.18039,0.02252,0.01267,7,0.2194299876695148,0.8618811281927128,1.0,-3.46,82.33,-7.22,24.95,2026-03-23
TSLA,367.96,-3.24,66549732,7.888908854582863,403.12,436.22,9,0,60593714.767,-2.06,1.64,-5.94,-7.66,82.89,3.07,77.06,0.26,22.68,32.6,-8.26,-5.98,,-0.03299,-0.06124,0.03052,0.04613,0.02156,9,0.08106353338696995,0.9290642779324537,1.64,-5.0,82.6,-8.26,23.69,2026-03-23
META,593.66,-2.15,12389745,3.970136252252891,639.3,665.19,9,0,14057371.667,-2.24,1.01,-3.27,-7.18,36.34,2.53,59.07,2.57,38.36,32.39,-12.67,-7.4,,-0.02173,-0.03322,-0.08074,0.0225,0.01691,4,0.014729640720513582,0.7112940321994916,1.01,-3.27,82.39,-12.67,22.86,2026-03-23
NKE,52.37,-2.0,12146008,7.552706151898233,59.85,64.54,9,0,15776408.767,-2.4,0.7,-2.98,-9.43,34.78,2.45,39.86,46.85,13.29,25.08,-2.56,-2.14,,-0.02023,-0.03028,-0.16525,0.02198,0.01876,4,0.07537255913120555,0.4787555985958116,0.7,-2.98,75.08,-2.56,22.77,2026-03-23
KHC,21.57,-0.87,15111721,4.299558550792774,23.41,24.44,9,0,16193301.583,-2.59,0.7,-4.47,-8.55,35.96,2.99,47.06,35.29,17.65,28.79,-0.62,-0.37,,-0.00877,-0.04576,-0.20735,0.02326,0.01778,5,0.020305841641253305,0.5659121171770972,0.7,-4.47,78.78999999999999,-0.62,22.32,2026-03-23
