simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
AAPL,255.53,-1.04,34022938,24.871217724723454,199.53,256.2,9,8,57975944.233,1.21,0.44,-1.48,1.44,90.47,1.63,59.7,25.19,15.11,60.52,11.13,13.12,,-0.01043,-0.01492,0.14278,0.05125,0.00609,8,0.24080812473756757,0.6102091180672815,0.44,-1.48,89.47999999999999,11.13,43.88,2026-01-20
WFC,88.38,-0.65,21721853,24.039480552348095,69.53,88.52,9,8,17316458.867,1.04,1.17,-7.89,-1.62,69.69,2.06,36.02,45.34,18.63,53.48,3.81,5.06,,-0.00654,-0.08218,0.18477,0.04057,0.01771,5,0.23034781764475798,0.3026367060657229,1.17,-5.0,96.52000000000001,3.81,42.66,2026-01-20
SMCI,32.64,10.94,32797912,16.458778139865903,30.62,36.12,9,3,45688698.6,-0.35,1.29,8.22,0.85,105.5,4.18,86.39,10.06,3.55,49.95,-1.73,-1.71,,0.10386,0.07902,-0.12646,0.0684,0.05905,7,0.13500943690688205,0.9568775165605923,1.29,5.0,99.95,-1.73,38.62,2026-01-20
UBER,84.85,0.56,15493114,14.362843528408845,74.14,85.61,6,8,19711586.383,0.59,0.12,-0.69,0.28,49.09,2.75,35.0,7.5,57.5,51.27,0.35,0.53,,0.00555,-0.00693,0.13439,0.03073,0.0082,5,0.10865000461209082,0.28938823223795296,0.12,-0.69,98.72999999999999,0.35,37.71,2026-01-20
META,620.25,-0.09,12938724,15.793705288236188,548.57,642.64,7,7,16168486.1,0.44,0.09,-5.02,-3.97,52.7,2.07,43.67,54.44,1.89,44.31,2.76,10.08,,-0.00089,-0.05155,0.01506,0.03265,0.01371,4,0.1266451765393079,0.40200025977399667,0.09,-5.0,94.31,2.76,35.64,2026-01-20
HOOD,108.74,-1.46,32942340,85.2373329848747,43.91,109.14,2,8,38157061.9,1.31,-0.43,-5.66,1.86,191.5,4.41,52.86,4.58,42.56,61.15,12.8,15.12,,-0.0147,-0.05832,0.88832,0.0933,0.04192,7,1.0,0.5213664112222366,0.0,-5.0,88.85,12.8,29.88,2026-01-20
KHC,23.53,-2.93,11692310,18.60724233983286,24.42,29.43,8,0,11444582.933,-1.6,0.82,0.47,-3.41,35.5,1.97,77.5,15.0,7.5,34.77,-0.97,-1.11,,-0.02973,0.00469,-0.23253,0.02288,0.02272,4,0.16202950533231927,0.8414079750616963,0.82,0.47,84.77000000000001,-0.97,25.16,2026-01-20
CRM,227.11,-2.75,10218960,7.761687125994454,254.98,275.57,9,0,6573704.117,-2.42,2.57,-12.63,-12.6,42.68,3.1,89.71,0.0,10.29,23.63,-9.6,-5.69,,-0.02788,-0.13502,-0.21288,0.02694,0.0283,3,0.02563084251341914,1.0,2.57,-5.0,73.63,-9.6,23.13,2026-01-20
V,328.3,0.17,8430874,5.723685345686931,334.97,354.71,9,0,6587291.467,-1.17,0.59,-6.14,-5.85,32.1,1.93,39.48,24.68,35.84,31.53,-5.34,-1.73,,0.00168,-0.06335,-0.04724,0.02027,0.02049,3,0.0,0.347577607481491,0.59,-5.0,81.53,-5.34,22.89,2026-01-20
HIMS,31.38,0.48,13611977,53.15637768838491,28.98,49.95,0,1,33047680.3,-0.55,-0.62,-0.98,-16.21,129.56,5.24,12.72,37.23,50.04,34.57,-3.71,-2.97,,0.00479,-0.00983,-0.06119,0.08593,0.0174,6,0.5965352332713396,0.0,0.0,-0.98,84.57,-3.71,10.84,2026-01-20
