simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
AAPL,263.88,3.17,56229900,23.090699341142436,209.92,264.73,9,8,50714596.133,0.78,0.44,-3.91,0.45,79.7,2.69,54.23,22.42,23.35,52.86,4.95,6.85,,0.03118,-0.03989,0.23618,0.04393,0.03109,8,0.23555772955463006,0.7006326558083188,0.44,-3.91,97.14,4.95,43.32,2026-02-18
GOOGL,302.02,-1.21,38465000,66.82823012778255,164.17,328.93,7,7,38027898.917,0.52,0.05,-6.88,-7.5,172.27,3.6,19.55,29.51,50.95,41.17,4.62,12.33,,-0.01218,-0.07124,0.63983,0.08006,0.00693,7,0.8679760056903085,0.2338134338403554,0.05,-5.0,91.17,4.62,37.45,2026-02-18
AVGO,332.54,2.27,18379500,39.61104618946717,229.48,342.83,4,8,22433283.033,0.72,-0.16,-3.31,1.09,101.18,4.97,66.18,16.51,17.31,54.27,5.81,7.79,,0.02241,-0.03371,0.56952,0.05401,0.02204,6,0.4744319660986909,0.861488760263831,0.0,-3.31,95.72999999999999,5.81,34.06,2026-02-18
JPM,307.13,1.51,9111600,19.55641977865849,260.96,317.52,4,7,9244974.817,0.52,-0.28,-4.65,-0.23,54.3,2.67,76.47,18.99,4.55,49.76,1.99,3.64,,0.01502,-0.04759,0.22748,0.03141,0.01724,3,0.1844541819128781,1.0,0.0,-4.65,99.75999999999999,1.99,30.88,2026-02-18
NVDA,184.97,1.18,161647400,35.02012357343491,131.67,187.57,2,8,182711037.65,0.75,-0.45,-2.67,-0.15,89.97,3.7,40.78,27.35,31.87,54.03,3.55,4.92,,0.01175,-0.02704,0.55271,0.04898,0.01491,9,0.408049998152977,0.519585408534123,0.0,-2.67,95.97,3.55,29.61,2026-02-18
KHC,23.78,-4.11,13886900,15.832928606119475,23.7,27.78,9,1,14213385.65,-0.79,1.02,-3.25,-0.45,35.61,3.2,64.81,11.85,23.34,44.82,-0.02,-0.16,,-0.042,-0.03309,-0.22028,0.02305,0.02667,4,0.13061474868033654,0.8430475164894334,1.02,-3.25,94.82,-0.02,29.32,2026-02-18
BAC,52.74,0.36,31770100,24.07670454545455,43.35,55.21,3,7,36860589.05,0.53,-0.13,-6.51,-1.37,60.33,2.65,32.09,54.55,13.37,47.92,0.57,0.98,,0.00361,-0.06727,0.28705,0.03433,0.01468,7,0.24981476922643397,0.40261138780454986,0.0,-5.0,97.92,0.57,27.97,2026-02-18
INTC,46.18,-1.3,69582600,75.95890160517752,21.2,47.17,1,8,98192183.65,0.84,-0.69,-8.08,-4.1,176.29,6.49,18.18,47.27,34.55,52.05,2.0,2.99,,-0.01312,-0.08426,0.76496,0.08761,0.03511,9,1.0,0.21537219006595776,0.0,-5.0,97.95,2.0,27.87,2026-02-18
LLY,1036.05,-0.38,2697700,31.27353193419899,776.32,1064.1,0,8,3618415.05,0.63,-0.75,-0.83,-0.82,113.12,3.57,29.81,66.54,3.65,51.53,10.21,17.15,,-0.00381,-0.00829,0.18655,0.06104,0.0155,3,0.3538765461255096,0.3719208507201508,0.0,-0.83,98.47,10.21,27.26,2026-02-18
AMD,203.08,-2.05,26088600,65.9598098380324,111.72,221.68,2,7,38381475.6,0.44,-0.39,-5.98,-11.5,194.94,6.11,8.93,21.2,69.87,44.47,0.83,7.11,,-0.02066,-0.06168,0.76532,0.09155,0.01707,7,0.8554191728575598,0.09086014268407593,0.0,-5.0,94.47,0.83,27.25,2026-02-18
