simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
PLTR,154.78,-3.77,57302400,18.98291649327628,139.53,168.8,7,5,48407867.117,-0.06,0.31,-0.19,2.88,54.45,4.05,49.49,21.33,29.18,53.75,2.2,1.17,,-0.03841,-0.00194,-0.22673,0.03471,0.04295,9,0.2780249347466193,0.44865403788634095,0.31,-0.19,96.25,2.2,35.28,2026-03-25
WFC,79.61,1.7,12562719,11.53807679666176,82.42,92.52,9,0,16060226.05,-1.15,0.46,4.43,0.17,28.82,2.47,68.51,29.58,1.9,45.45,-2.59,-3.06,,0.01685,0.04338,-0.17989,0.01832,0.00771,5,0.14797704960959157,0.6856929212362911,0.46,4.43,95.45,-2.59,29.94,2026-03-25
PFE,26.96,0.71,29572260,5.534495830174378,25.65,27.11,1,8,42289876.983,0.62,-0.58,-1.79,-0.18,22.18,2.35,52.17,24.64,23.19,50.46,0.07,0.11,,0.00707,-0.01801,0.07428,0.01394,0.00916,8,0.04310534789979681,0.4820538384845463,0.0,-1.79,99.53999999999999,0.07,27.06,2026-03-25
HIMS,21.34,-4.99,18903675,60.31375874496501,16.47,30.7,5,3,32111848.567,-0.47,-0.19,-14.57,4.25,116.38,9.59,71.91,7.44,20.65,48.82,0.57,0.23,,-0.05115,-0.15749,-0.48529,0.06784,0.05971,6,1.0,0.7280658025922232,0.0,-5.0,98.82,0.57,26.7,2026-03-25
CRM,183.02,-6.23,13906882,16.927652572760824,193.05,228.75,9,0,11960405.683,-1.08,1.14,-6.29,-6.34,42.29,4.1,93.73,0.0,6.27,36.24,-2.97,-3.13,,-0.06433,-0.06499,-0.37112,0.027,0.02887,4,0.24212319110222408,1.0,1.14,-5.0,86.24000000000001,-2.97,25.61,2026-03-25
MSFT,372.74,-2.68,29618100,15.573774951555103,399.55,467.03,9,0,33994287.45,-1.5,0.36,-6.68,-6.32,32.56,1.84,91.05,0.56,8.38,28.18,-9.14,-7.77,,-0.02715,-0.06911,-0.26948,0.021,0.01179,7,0.2184733976147673,0.9666001994017945,0.36,-5.0,78.18,-9.14,22.89,2026-03-25
GOOGL,290.44,-3.85,29300400,7.065550088193619,306.48,328.93,9,0,32688866.583,-2.03,0.32,-6.59,-4.73,22.41,2.24,90.45,8.45,1.1,33.23,-3.94,-3.52,bearish,-0.03923,-0.06814,-0.07828,0.01412,0.01689,7,0.06985009679962702,0.9591226321036888,0.32,-5.0,83.22999999999999,-3.94,22.89,2026-03-25
MRK,116.37,0.6,6391503,8.931503250804482,109.1,119.3,0,6,10948150.633,0.33,-1.07,0.43,-0.84,22.96,2.11,66.27,6.75,26.98,49.13,-0.62,-0.24,,0.00595,0.00431,0.0891,0.01446,0.00936,3,0.10244492388134917,0.6577766699900297,0.0,0.43,99.13,-0.62,22.7,2026-03-25
SMCI,22.23,3.01,114067000,6.095254212749092,30.1,32.0,9,0,34917747.2,-3.39,0.93,-29.45,-26.27,96.4,7.14,62.29,21.02,16.69,30.25,-1.92,-0.74,,0.02968,-0.34886,-0.31792,0.06711,0.19034,7,0.0529007826839553,0.6081754735792622,0.93,-5.0,80.25,-1.92,21.64,2026-03-25
TSM,343.25,1.42,15810089,7.9245836955270414,328.79,355.92,0,5,13288204.05,0.05,-0.71,-0.79,-2.1,38.29,3.15,70.85,15.04,14.11,47.85,-4.09,-2.25,,0.01408,-0.00792,0.13868,0.02405,0.02302,4,0.08485586031474275,0.7148554336989031,0.0,-0.79,97.85,-4.09,19.9,2026-03-25
