simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
NKE,63.13,3.32,13574198,5.994462297136164,60.0,63.7,9,7,15962402.35,0.48,0.89,-1.24,-0.16,39.11,2.94,86.03,13.97,0.0,50.81,-0.15,0.04,,0.03268,-0.01244,0.09533,0.02455,0.02367,5,0.0,0.9361794815944239,0.89,-1.24,99.19,-0.15,42.63,2026-02-17
BABA,155.73,-1.89,11379634,28.27027559016554,123.82,164.59,9,7,13133343.367,0.48,0.44,-4.17,-6.47,75.86,3.12,54.71,45.29,0.0,44.72,1.75,4.18,,-0.01908,-0.04262,0.26925,0.0439,0.02143,4,0.3133061161464228,0.5950773252014812,0.44,-4.17,94.72,1.75,41.06,2026-02-17
AAPL,255.78,-2.27,71430852,23.027455081307426,209.16,263.58,8,7,50628721.783,0.54,0.33,-8.03,-2.48,79.55,2.58,91.89,3.24,4.87,45.58,5.61,7.38,,-0.023,-0.08373,0.22326,0.04382,0.0222,8,0.2395665983261169,0.9999999999999999,0.33,-5.0,95.58,5.61,39.13,2026-02-17
GOOGL,305.72,-1.06,47550034,66.90807533978536,164.02,328.93,6,7,37898100.85,0.59,0.03,-5.31,-6.76,172.19,3.47,40.85,18.29,40.85,43.85,6.62,14.31,,-0.01067,-0.05455,0.67699,0.08002,0.011,7,0.8567412229483233,0.44412981921150074,0.03,-5.0,93.85,6.62,36.0,2026-02-17
HOOD,75.97,6.82,56778695,56.27072877226967,61.21,109.14,9,3,33524594.417,-0.29,0.61,-8.27,-18.33,189.18,7.78,63.1,19.89,17.01,37.25,-5.92,-2.86,,0.06597,-0.08633,0.53126,0.09195,0.07435,6,0.7071284705279789,0.6864517534306251,0.61,-5.0,87.25,-5.92,32.76,2026-02-17
NVDA,182.81,-2.21,187022968,35.55322189855154,130.95,187.57,2,8,184155651.45,0.71,-0.46,-1.4,-1.35,90.13,3.6,79.02,0.34,20.64,52.0,3.89,5.32,,-0.02234,-0.01412,0.57654,0.0491,0.01915,9,0.4157397104653954,0.8598344587235895,0.0,-1.4,98.0,3.89,30.89,2026-02-17
JPM,302.55,-0.03,9703356,19.65419841960055,260.7,317.52,5,6,9339250.9,0.4,-0.08,-6.16,-1.81,54.3,2.66,51.87,22.39,25.74,45.83,2.45,4.11,,-0.0003,-0.06355,0.22795,0.03141,0.01234,3,0.1921222276294409,0.5641472446090176,0.0,-5.0,95.83,2.45,30.07,2026-02-17
AVGO,325.17,-1.81,21655817,39.940160642997355,228.69,342.83,2,7,22484416.833,0.63,-0.59,-2.33,-1.43,101.73,4.82,48.6,46.42,4.98,50.73,6.25,8.46,,-0.01828,-0.02355,0.60871,0.05441,0.02558,6,0.47744137413595056,0.5285340884338924,0.0,-2.33,99.27000000000001,6.25,28.72,2026-02-17
LLY,1040.0,0.17,2820967,31.27353193419899,776.32,1064.1,1,8,3628244.25,0.68,-0.47,-1.72,-0.45,113.29,3.6,0.07,79.41,20.52,52.22,11.58,19.34,,0.00166,-0.01733,0.22625,0.06118,0.01632,3,0.3555464854906778,0.0,0.0,-1.72,97.78,11.58,28.46,2026-02-17
ORCL,160.14,2.34,21163609,22.958427757537528,150.63,189.7,6,2,17746450.367,-0.34,0.07,12.13,-2.8,60.68,5.27,12.7,30.81,56.49,45.94,-6.23,-5.76,,0.02312,0.11446,0.1978,0.03681,0.04224,5,0.23859573892655925,0.1375517316488782,0.07,5.0,95.94,-6.23,28.05,2026-02-17
INTC,46.79,0.67,87847804,77.09365936042883,20.92,47.17,1,8,98749779.833,0.92,-0.59,-7.51,-2.92,176.25,6.41,37.87,33.09,29.04,53.48,2.3,3.26,,0.00665,-0.07808,0.82086,0.08763,0.03538,9,1.0,0.41167501633631015,0.0,-5.0,96.52000000000001,2.3,27.87,2026-02-17
KHC,24.8,1.97,18609901,16.225646990404186,23.7,27.88,5,3,13993615.867,-0.36,-0.02,0.65,3.88,34.81,2.78,71.81,19.69,8.5,54.68,0.03,-0.2,,0.01954,0.00647,-0.19335,0.02254,0.01802,4,0.14390014396590442,0.7813112611631453,0.0,0.65,95.32,0.03,26.71,2026-02-17
AMD,207.32,0.67,31353620,66.85024323733103,110.61,221.68,0,7,38537805.283,0.53,-0.72,-0.54,-10.21,194.85,5.89,53.48,44.25,2.27,46.46,2.14,8.74,,0.00668,-0.00539,0.83013,0.09153,0.02628,7,0.8559278227294314,0.581681550860379,0.0,-0.54,96.46000000000001,2.14,26.21,2026-02-17
TSLA,417.44,0.09,61297276,26.402361858180413,334.48,436.22,0,7,82109079.15,0.5,-1.0,1.54,-1.72,87.54,3.72,23.75,50.23,26.02,49.87,1.96,4.87,,0.00089,0.01528,0.50972,0.04932,0.01791,9,0.2870341776557208,0.25789588324983664,0.0,1.54,99.87,1.96,25.57,2026-02-17
V,314.08,-3.12,7810952,7.574677876979158,328.82,354.71,9,0,6596135.683,-2.03,1.84,-5.28,-3.97,21.51,2.52,71.38,19.4,9.22,33.57,-4.77,-4.57,bearish,-0.03165,-0.05422,-0.0626,0.01362,0.01628,3,0.022225505281533386,0.7766281855804835,1.84,-5.0,83.57,-4.77,24.03,2026-02-17
BAC,52.55,0.06,54974465,24.196127198436663,43.3,55.21,1,7,37176455.933,0.52,-0.5,-7.04,-1.74,60.42,2.59,46.38,19.57,34.06,46.96,0.72,1.09,,0.00057,-0.07301,0.30463,0.0344,0.01316,7,0.25600380388399235,0.5043563493792202,0.0,-5.0,96.96000000000001,0.72,24.02,2026-02-17
CRM,189.72,2.31,16765791,18.360534176749947,227.75,273.79,9,0,8437065.533,-1.83,1.35,-0.85,-9.07,39.42,4.68,35.85,40.77,23.39,26.51,-16.65,-15.94,,0.02287,-0.00855,-0.27783,0.02516,0.02603,3,0.17392702576662686,0.3896754519712481,1.35,-0.85,76.51,-16.65,23.99,2026-02-17
AMZN,198.79,-0.41,78589278,17.13327931090166,200.64,238.24,9,0,47034964.8,-0.85,0.78,-5.48,-12.58,43.47,3.57,2.32,58.76,38.92,26.39,-6.87,-1.65,,-0.00407,-0.05638,0.09596,0.02663,0.00724,8,0.1566658622579056,0.024504465258113697,0.78,-5.0,76.39,-6.87,22.88,2026-02-17
META,639.77,-1.55,14866597,7.636967471254421,614.88,663.7,2,5,15171507.783,0.08,-0.37,-3.28,-3.92,40.31,3.37,31.61,37.54,30.84,43.85,4.55,10.38,,-0.01557,-0.03334,0.20676,0.02483,0.01935,4,0.023101599482988455,0.34349814855151384,0.0,-3.28,93.85,4.55,22.53,2026-02-17
MSFT,401.32,-0.13,39706158,11.061161949006925,421.08,470.38,8,0,29189435.35,-1.37,0.26,0.04,-7.21,38.29,2.91,41.79,14.55,43.66,34.69,-15.31,-11.81,,-0.00129,0.00045,0.06946,0.02431,0.01905,6,0.07126240324993224,0.4543672402526682,0.26,0.04,84.69,-15.31,22.52,2026-02-17
WFC,86.98,0.8,16843817,23.30454565864903,73.78,93.24,1,6,15174266.15,0.31,-0.52,-7.44,-3.06,63.4,3.37,55.08,19.92,25.0,43.78,0.59,1.41,,0.00796,-0.0773,0.24705,0.03603,0.02089,5,0.2434638375184939,0.5991069483772599,0.0,-5.0,93.78,0.59,21.96,2026-02-17
UBER,69.99,-1.73,33512526,6.7997194039713245,79.98,85.61,9,0,21195128.483,-2.3,0.56,-6.39,-10.54,39.2,4.09,44.58,15.0,40.42,25.53,-3.33,-2.44,,-0.01742,-0.06606,-0.0526,0.02474,0.01407,5,0.011325825608386533,0.48475277717272924,0.56,-5.0,75.53,-3.33,21.5,2026-02-17
PLTR,131.41,1.77,73428117,31.754804413255442,123.37,169.94,2,2,67613631.167,-0.52,-0.5,-3.3,-12.95,134.04,6.66,47.91,29.34,22.75,37.73,-7.21,-4.15,,0.0175,-0.0336,0.26499,0.07162,0.04004,9,0.3623155138191978,0.5210193857547375,0.0,-3.3,87.72999999999999,-7.21,15.49,2026-02-17
HIMS,16.3,3.16,31600052,54.29207763283487,28.62,49.95,3,0,36323837.1,-1.55,-0.31,-29.19,-35.41,127.62,13.44,24.05,72.15,3.8,19.77,-5.05,-4.33,,0.03116,-0.3452,-0.49387,0.08507,0.07875,7,0.6792990262984835,0.26116314528425183,0.0,-5.0,69.77,-5.05,10.72,2026-02-17
SMCI,30.54,0.36,25361532,12.950191570881241,30.51,34.74,0,1,42786670.567,-0.67,-0.76,-11.17,-3.22,100.29,6.58,10.42,60.42,29.17,45.96,-0.2,-0.32,,0.00361,-0.11844,-0.07444,0.06524,0.02284,8,0.0978313337006193,0.11272054018732301,0.0,-5.0,95.96000000000001,-0.2,8.81,2026-02-17
