simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
ORCL,174.9,-4.13,18085420,30.575218257735102,139.39,189.7,9,6,12888140.8,0.53,1.74,-2.79,-7.99,61.99,4.09,71.03,8.77,20.2,45.24,2.21,5.9,,-0.04221,-0.0283,0.24256,0.03749,0.03271,4,0.32688345154815596,0.7215947594307657,1.74,-2.79,95.24000000000001,2.21,41.26,2026-01-28
AVGO,332.79,2.44,23423893,54.916381744308616,190.41,334.57,5,8,25807544.6,1.12,-0.16,0.06,-2.31,109.41,3.46,39.34,25.45,35.21,60.14,16.38,23.64,,0.02415,0.00057,0.77049,0.05945,0.01819,6,0.6697445863588046,0.36367743392816804,0.0,0.06,89.86,16.38,37.91,2026-01-28
JPM,300.31,-0.24,9289253,23.473540954196963,243.47,308.22,4,8,10683641.95,0.75,-0.2,-0.8,-5.08,59.3,2.11,26.77,16.54,56.69,49.38,4.41,9.26,,-0.00243,-0.00806,0.27245,0.03485,0.01157,3,0.22685170324273135,0.22170770273322787,0.0,-0.8,99.38,4.41,34.13,2026-01-28
LLY,1039.51,-2.19,1445207,35.00865523299592,746.77,1063.68,0,8,3832355.85,1.05,-0.75,-0.17,-2.65,115.06,3.29,63.81,24.07,12.11,56.19,44.98,56.69,,-0.02211,-0.00171,0.27562,0.06227,0.02373,3,0.3893312976951928,0.6400496950530834,0.0,-0.17,93.81,44.98,30.55,2026-01-28
TSLA,430.9,-0.99,49000644,45.48827376153818,274.56,436.22,0,8,98471910.667,1.0,-1.51,2.78,-2.63,104.36,2.8,95.68,1.24,3.07,55.25,17.76,23.99,,-0.00993,0.02741,0.47758,0.0599,0.02919,9,0.5369435473339833,1.0,0.0,2.78,94.75,17.76,30.25,2026-01-28
WFC,88.71,0.75,10847102,24.3145925457991,69.53,88.77,1,8,17620867.283,0.91,-0.56,2.37,-3.45,66.71,2.15,35.33,22.4,42.27,54.51,1.6,2.9,,0.00747,0.02338,0.30073,0.03838,0.01396,5,0.23869846246975318,0.31838716964084024,0.0,2.37,95.49000000000001,1.6,29.02,2026-01-28
HOOD,105.24,-1.64,11435712,78.36261171786883,47.69,109.14,0,8,35424914.933,0.98,-0.89,-0.51,-7.38,189.51,4.28,58.33,28.46,13.21,56.09,6.62,10.09,,-0.01659,-0.00512,1.01184,0.09164,0.00908,7,1.0,0.5781567653038173,0.0,-0.51,93.91,6.62,28.4,2026-01-28
KHC,23.7,0.51,14878602,18.41781146376125,23.96,28.82,9,0,12699777.617,-1.19,1.21,-0.25,0.28,37.46,2.31,40.96,50.6,8.43,43.32,-0.8,-0.96,,0.00508,-0.00253,-0.26236,0.02415,0.03317,4,0.15563846188133984,0.3819742489270386,1.21,-0.25,93.32,-0.8,28.0,2026-01-28
CRM,228.53,-0.38,7112934,10.491313005286838,246.5,273.79,9,0,7042111.85,-1.65,0.93,3.84,-6.99,41.52,3.03,36.16,39.87,23.97,31.74,-11.63,-10.07,,-0.0038,0.03772,-0.1105,0.02615,0.01275,3,0.043988570616016395,0.3277614637451998,0.93,3.84,81.74,-11.63,26.67,2026-01-28
PLTR,165.7,-1.06,22650164,44.05271087305817,108.59,169.94,0,8,79159111.633,0.89,-1.19,-1.68,-5.28,137.92,3.96,36.63,42.11,21.26,53.24,6.42,10.06,,-0.01063,-0.01693,0.68414,0.07404,0.01644,9,0.5167227094390402,0.3330697989609216,0.0,-1.68,96.75999999999999,6.42,26.47,2026-01-28
NIO,4.64,0.65,27072803,20.000000000000007,3.8,4.65,0,8,40630040.767,0.81,-1.0,1.75,-3.54,87.89,3.15,7.14,64.29,28.57,51.91,0.08,0.13,,0.00649,0.01739,0.21563,0.05089,0.02124,7,0.17792461748431432,0.0,0.0,1.75,98.09,0.08,26.42,2026-01-28
UBER,81.24,-0.9,14934675,9.289535914037021,78.01,85.61,5,4,20092222.4,-0.04,-0.02,-2.96,-2.9,47.03,2.92,31.91,6.07,62.02,41.39,-0.43,0.07,,-0.00907,-0.03007,0.15106,0.02935,0.00979,5,0.027060757879265582,0.2797605601987802,0.0,-2.96,91.39,-0.43,25.94,2026-01-28
