simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
AVGO,320.05,-1.67,23972158,57.858016761483825,184.35,334.42,9,8,25689585.367,1.02,0.33,-6.7,-6.62,112.18,3.83,9.52,24.62,65.86,54.56,19.42,27.19,,-0.01685,-0.06931,0.64142,0.06159,0.02874,6,0.6605957918918771,0.08622232162827106,0.33,-5.0,95.44,19.42,44.36,2026-01-26
ORCL,177.16,-0.57,20998046,30.575218257735102,139.39,189.7,9,7,12527409.017,0.67,1.59,-6.68,-7.66,62.63,4.07,59.35,32.55,8.1,46.62,3.64,7.64,,-0.00574,-0.06918,0.22165,0.03794,0.03357,4,0.30761125830663455,0.6434802057705211,1.59,-5.0,96.62,3.64,42.01,2026-01-26
JPM,297.72,-1.95,10497403,23.473540954196963,243.47,308.22,6,7,10630941.95,0.73,0.1,-3.73,-6.69,61.27,2.35,73.04,6.31,20.65,47.13,6.22,11.5,,-0.01966,-0.03803,0.20038,0.03625,0.01759,3,0.21572983894571834,0.7965779467680609,0.1,-3.73,97.13,6.22,35.28,2026-01-26
NIO,4.64,-2.73,45721675,20.39122703023119,3.79,4.65,4,8,41267176.367,0.86,-0.3,0.0,-4.09,88.09,3.55,83.33,8.33,8.33,51.86,0.1,0.15,,-0.02763,-0.0,0.18146,0.05101,0.02762,7,0.17585089681062682,0.9116528740773876,0.0,0.0,98.14,0.1,34.4,2026-01-26
WFC,86.96,-1.23,19593713,24.039480552348095,69.53,88.52,4,8,17547816.5,0.81,-0.28,-2.25,-6.02,69.67,2.31,32.14,12.5,55.36,49.92,1.91,3.5,,-0.01234,-0.02274,0.19841,0.04056,0.01584,5,0.2230519589644308,0.3391858644598523,0.0,-2.25,99.92,1.91,33.26,2026-01-26
BAC,51.72,-1.39,30496904,27.872409677769355,39.66,52.51,2,8,46239135.433,0.9,-0.42,-1.65,-5.35,68.82,2.07,47.56,10.98,41.46,51.93,1.43,2.3,,-0.01402,-0.01668,0.22039,0.04054,0.0114,8,0.2726423519520202,0.5116305077163945,0.0,-1.65,98.07,1.43,29.55,2026-01-26
HOOD,106.99,0.7,14717649,84.09116790577363,44.53,109.14,0,8,36388451.017,1.1,-0.99,-3.04,-7.0,191.09,4.49,1.81,90.12,8.06,58.77,8.2,11.77,,0.00694,-0.03092,0.93126,0.09299,0.01454,7,0.9999999999999999,0.0,0.0,-3.04,91.22999999999999,8.2,26.32,2026-01-26
PLTR,169.6,2.23,28265296,51.61852078923134,100.22,169.94,0,8,81267495.233,1.06,-1.18,-4.22,-4.55,138.29,3.93,40.88,42.11,17.02,57.13,8.17,11.86,,0.02206,-0.0431,0.69456,0.07434,0.02198,9,0.5798692646894011,0.43692686199955266,0.0,-4.22,92.87,8.17,25.11,2026-01-26
AAPL,248.04,-0.12,36743336,24.871217724723454,199.53,256.2,1,7,58531227.717,0.87,-0.53,-3.94,-5.17,90.53,1.97,15.22,28.96,55.81,52.44,6.11,9.72,,-0.00125,-0.04018,0.10557,0.05128,0.01618,8,0.2338129649446672,0.14996645045851037,0.0,-3.94,97.56,6.11,24.38,2026-01-26
CRM,228.05,-0.02,9463999,8.95613124397246,250.32,273.79,9,0,6926849.3,-1.83,0.83,-2.35,-8.5,43.24,3.13,30.24,66.67,3.1,30.55,-12.31,-9.39,,-0.00018,-0.02375,-0.1696,0.02729,0.0252,3,0.027903758907581497,0.31793782151643923,0.83,-2.35,80.55,-12.31,23.05,2026-01-26
SMCI,31.7,-2.31,29501389,15.740984469597267,30.62,35.86,2,2,44752850.217,-0.5,-0.4,7.75,3.91,105.1,4.87,80.09,3.9,16.02,47.48,-1.01,-1.4,,-0.02338,0.07464,-0.10046,0.06814,0.05572,7,0.11568611198849545,0.87541936926862,0.0,5.0,97.47999999999999,-1.01,20.87,2026-01-26
KHC,23.2,2.11,18615368,17.74557771923223,24.21,28.93,7,0,12403048.517,-1.47,0.33,-4.29,-1.93,37.58,2.38,91.23,7.02,1.75,38.29,-0.95,-1.03,,0.02091,-0.04385,-0.26831,0.02422,0.0343,4,0.1416215164211932,1.0,0.33,-4.29,88.28999999999999,-0.95,20.87,2026-01-26
UBER,82.31,-0.3,19432096,13.142048018423164,75.05,85.61,0,6,20039635.883,0.15,-0.67,-2.45,-1.55,49.01,3.24,16.27,43.54,40.19,44.3,-0.14,0.25,,-0.00303,-0.02484,0.12017,0.03068,0.01176,5,0.08206110204278459,0.16170878997987023,0.0,-2.45,94.3,-0.14,20.45,2026-01-26
HIMS,29.62,-2.95,12853184,53.75920751841503,28.79,49.95,1,1,32965214.433,-0.69,-0.63,-5.16,-9.35,128.77,6.08,32.7,53.46,13.84,34.36,-3.64,-3.39,,-0.02993,-0.05293,-0.04715,0.0854,0.04205,6,0.6075654449969015,0.345448445537911,0.0,-5.0,84.36,-3.64,11.05,2026-01-26
V,326.18,-0.06,5550937,6.799400397891681,331.38,354.71,2,0,6508668.017,-1.16,-0.29,-0.48,-4.73,31.25,2.06,10.06,50.94,38.99,31.04,-7.18,-4.77,,-0.00055,-0.0048,-0.06,0.01974,0.00418,3,0.0,0.09226123909639901,0.0,-0.48,81.03999999999999,-7.18,10.08,2026-01-26
