simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
SMCI,33.76,13.78,36513629,11.828330822420522,30.44,34.27,9,7,42595991.683,0.02,2.65,8.17,10.24,97.69,5.28,25.0,36.42,38.58,57.07,-0.64,-0.95,,0.12914,0.07854,0.01823,0.06375,0.06762,8,0.07191626189297859,0.0,2.65,5.0,92.93,-0.64,46.57,2026-02-05
AMD,200.19,-17.31,41029892,76.72286732748925,98.76,221.68,9,7,38836566.55,0.6,3.96,-20.79,-14.06,194.85,6.11,76.22,18.43,5.35,42.07,15.77,22.74,,-0.19013,-0.23309,0.76238,0.09154,0.08822,7,1.0000000000000002,0.8230756869677005,3.0,-5.0,92.07,15.77,46.51,2026-02-05
AVGO,308.05,-3.83,36425346,50.176948075152794,200.56,334.9,9,7,22449685.867,0.59,3.11,-7.56,-7.79,101.39,4.31,47.34,0.0,52.66,44.19,7.55,14.09,,-0.03909,-0.0786,0.52659,0.05415,0.01903,6,0.6203557757243361,0.3589908404306605,3.0,-5.0,94.19,7.55,44.3,2026-02-05
AMZN,232.99,-2.36,50361798,23.092041488598866,188.92,238.24,9,8,42042590.1,0.79,0.68,-4.12,-2.84,42.79,2.54,83.38,0.0,16.62,49.6,4.63,6.44,,-0.02388,-0.04211,0.23134,0.02611,0.01501,8,0.23300326956744158,0.938132733408324,0.68,-4.12,99.6,4.63,43.89,2026-02-05
HOOD,80.62,-7.41,36234778,75.52974960160306,49.3,109.14,9,5,31971656.317,0.04,2.0,-22.03,-24.05,184.62,6.44,57.06,3.91,39.03,29.25,-0.82,4.03,,-0.07697,-0.24886,0.61286,0.08825,0.03726,7,0.9829367275170272,0.5151856017997751,2.0,-5.0,79.25,-0.82,38.77,2026-02-05
NVDA,174.19,-3.41,195713884,48.517637253380954,113.75,186.62,6,7,196961571.3,0.68,0.16,-9.05,-6.11,91.16,2.87,68.71,1.56,29.73,45.76,5.68,8.83,,-0.0347,-0.09485,0.45125,0.04994,0.01711,9,0.596625282017348,0.7023943435641973,0.16,-5.0,95.75999999999999,5.68,35.62,2026-02-05
KHC,24.48,2.56,17494538,18.469050696538854,23.7,28.52,9,2,12778327.867,-0.67,0.91,5.56,4.14,35.08,2.49,63.1,29.76,7.14,53.18,-0.41,-0.67,,0.02523,0.05414,-0.18075,0.02269,0.01626,4,0.16688795683700433,0.6122448979591837,0.91,5.0,96.82,-0.41,35.49,2026-02-05
PLTR,139.54,-11.62,112102702,36.87906759085367,117.02,169.94,9,4,72214196.467,-0.03,1.01,-11.32,-16.05,134.08,5.6,78.46,2.4,19.14,37.25,-1.54,3.1,,-0.12348,-0.12012,0.45478,0.0717,0.0695,9,0.4301772600367363,0.85907118753013,1.01,-5.0,87.25,-1.54,35.2,2026-02-05
TSLA,406.01,-3.78,55512048,41.96326855661929,284.92,436.22,3,7,87177031.9,0.53,-0.41,-5.9,-6.31,89.59,3.47,58.45,13.92,27.63,45.21,6.53,13.86,,-0.03853,-0.0608,0.47572,0.05077,0.0294,9,0.5028885311500838,0.5375220954523543,0.0,-5.0,95.21000000000001,6.53,29.19,2026-02-05
NIO,4.44,-2.42,38610198,17.338358944621625,3.94,4.68,4,6,38902336.25,0.26,-0.14,-3.27,-4.58,84.04,4.22,63.64,0.0,36.36,45.33,0.02,0.07,,-0.02447,-0.03323,0.23219,0.04819,0.03019,7,0.1507174641533228,0.6209223847019123,0.0,-3.27,95.33,0.02,28.71,2026-02-05
