simbolo,last_close,pct_var,volumen_ant,canal_pct,p25,p75,score_volumen,score_precio,vol_media_60,z_close,z_vol,ret_5d,ma20_pos,volat_60d,atr_pct,body_pct,wick_sup_pct,wick_inf_pct,RSI,MACD,MACD_signal,MACD_cross,rl_ult,rl_5,rl_60,rl_std_60,rl_std_5,volumen_rank,canal_pct_norm,body_pct_norm,z_vol_clipped,ret_5d_clipped,rsi_score,macd_score,score_final,fecha_senal
HIMS,24.88,0.44,42799400,65.49630076296862,16.47,32.52,9,5,31936623.8,-0.24,0.19,12.27,36.02,134.61,7.89,40.12,17.33,42.55,61.16,0.14,-1.55,,0.00443,0.11578,-0.84638,0.08608,0.06782,7,1.0,0.4242796515523788,0.19,5.0,88.84,0.14,42.77,2026-03-17
INTC,45.76,-0.02,68220200,10.809760430835853,42.6,47.46,8,6,99605049.283,0.32,0.29,0.39,0.71,177.16,4.97,62.13,35.86,2.01,50.79,0.24,0.32,,-0.00022,0.00394,0.79376,0.08832,0.03491,9,0.12356172604922769,0.6700915791824882,0.29,0.39,99.21000000000001,0.24,39.15,2026-03-17
EXE,107.71,0.64,2705500,5.140573254645641,104.01,109.49,8,6,3382730.283,0.09,0.43,-0.15,1.6,36.44,3.02,16.48,62.22,21.31,52.34,0.28,0.03,,0.00643,-0.00148,-0.06296,0.02304,0.02448,3,0.032704037974114746,0.16026356935447844,0.43,-0.15,97.66,0.28,38.32,2026-03-17
SMCI,31.86,3.61,18236700,6.908697914581935,30.15,32.31,5,7,30466913.85,-0.04,-0.11,-0.38,0.78,86.32,5.15,23.84,37.75,38.41,50.57,-0.13,-0.1,,0.03546,-0.00376,-0.26795,0.05741,0.02302,6,0.06104103123923479,0.24246146973419702,0.0,-0.38,99.43,-0.13,34.13,2026-03-17
WMT,125.99,-0.42,15185300,10.084085889952203,114.48,126.64,3,8,29590492.633,0.68,-0.18,1.33,0.2,37.85,2.03,46.05,0.0,53.95,53.04,0.67,1.1,,-0.0042,0.01318,0.26739,0.02294,0.0112,6,0.11193164416437348,0.49050703596158135,0.0,1.33,96.96000000000001,0.67,32.57,2026-03-17
NVDA,183.22,1.65,160513800,3.0999609892398494,182.77,188.52,9,1,177155584.017,0.12,0.8,0.31,-0.95,90.05,3.17,3.35,75.74,20.91,49.72,-0.23,0.29,,0.01634,0.00312,0.3294,0.04906,0.01535,9,0.0,0.013625195443377265,0.8,0.31,99.72,-0.23,30.8,2026-03-17
AVGO,324.92,0.86,34671400,5.6773737951432395,324.18,343.12,9,1,24568486.15,-0.03,0.77,-6.02,-1.37,101.78,3.85,12.03,34.79,53.17,47.56,1.47,1.92,bearish,0.00853,-0.06214,0.34667,0.05438,0.0189,6,0.041307115373273535,0.11056511056511055,0.77,-5.0,97.56,1.47,28.38,2026-03-17
CRM,198.34,2.86,14830700,28.28026208659713,193.36,257.05,7,1,11405865.733,-0.7,0.32,-0.23,2.87,42.16,3.95,91.67,8.33,0.0,49.0,-3.06,-5.13,,0.02817,-0.00227,-0.35292,0.02689,0.02723,4,0.40355413776945853,0.9999999999999998,0.32,-0.23,99.0,-3.06,27.31,2026-03-17
META,627.45,2.24,18904300,3.914639624844639,639.65,665.19,8,0,13759514.783,-1.09,0.08,-3.08,-2.99,36.37,2.53,39.09,23.54,37.37,41.94,-6.17,-3.06,,0.02214,-0.03128,-0.01275,0.02251,0.02547,4,0.01305651322752429,0.4127764127764128,0.08,-3.08,91.94,-6.17,22.48,2026-03-17
ORCL,155.97,0.55,26262100,20.955538236661926,153.72,189.7,4,1,24463844.217,-0.61,-0.22,2.91,2.66,65.03,4.41,2.13,63.36,34.51,50.1,-1.25,-2.93,,0.00553,0.02868,-0.00773,0.03957,0.04759,5,0.28616385692129903,0.0,0.0,2.91,99.9,-1.25,21.57,2026-03-17
PFE,26.61,0.11,34245500,6.7443600830026735,25.29,27.05,0,6,41681669.317,0.45,-1.03,-0.75,-1.4,26.12,2.12,22.97,52.7,24.32,47.53,0.08,0.18,,0.00113,-0.00749,0.14406,0.01626,0.01182,8,0.05840725765291211,0.23274514183605088,0.0,-0.75,97.53,0.08,21.34,2026-03-17
MRK,115.43,-0.16,7058700,9.838732727252726,108.12,119.3,0,6,11011478.633,0.36,-0.98,-1.43,-3.46,81.4,2.46,4.89,34.24,60.87,45.42,0.27,1.41,,-0.00156,-0.01445,0.40512,0.04415,0.00278,3,0.10799947180315464,0.030824212642394454,0.0,-1.43,95.42,0.27,20.85,2026-03-17
AMZN,211.74,1.96,35605500,13.42291335779369,208.27,238.24,4,1,47028414.233,-0.65,-0.21,-0.82,0.86,40.47,2.44,64.22,18.64,17.14,47.66,-1.92,-2.58,,0.01941,-0.00823,0.05146,0.02484,0.01359,8,0.16544163337126058,0.6934331025240115,0.0,-0.82,97.66,-1.92,19.7,2026-03-17
BABA,136.71,1.11,6421400,15.345616972607099,141.13,164.59,4,0,11193293.033,-0.98,-0.22,3.07,-4.22,74.14,2.3,90.87,0.0,9.13,37.44,-6.12,-5.93,,0.01103,0.03022,0.10089,0.04263,0.01752,4,0.19625599879374875,0.9910654456109,0.0,3.07,87.44,-6.12,18.27,2026-03-17
PLTR,152.72,1.17,42355300,22.47460584795524,135.6,169.94,0,4,50651028.9,-0.05,-0.87,-2.37,6.16,128.85,4.0,10.06,42.46,47.49,56.15,2.19,0.62,,0.01166,-0.024,0.23629,0.06761,0.0203,9,0.3105093171967253,0.08856377038195219,0.0,-2.37,93.85,2.19,17.39,2026-03-17
UBER,74.66,1.81,16397000,12.624205638579433,73.9,83.86,1,1,19185934.083,-0.76,-0.43,1.11,1.1,34.93,3.17,47.83,52.17,0.0,48.73,-0.81,-1.08,,0.01797,0.01104,-0.17198,0.02224,0.02607,5,0.15264107933058044,0.5103864194773284,0.0,1.11,98.72999999999999,-0.81,14.56,2026-03-17
MSFT,399.95,1.11,26808000,15.723110524620248,401.81,470.38,3,0,32515125.533,-1.0,-0.28,-2.31,-0.08,35.33,2.08,34.33,11.64,54.02,43.15,-5.59,-7.31,,0.01106,-0.02338,-0.1236,0.02261,0.01006,7,0.20230592982146725,0.35961581416126864,0.0,-2.31,93.15,-5.59,13.57,2026-03-17
WFC,75.75,2.23,15494600,12.146462851048714,82.57,93.24,4,0,15154416.517,-1.61,-0.08,-3.91,-8.02,65.38,3.36,60.53,9.21,30.26,32.03,-3.36,-2.52,,0.02202,-0.03986,0.03438,0.03741,0.01764,4,0.14498449579918765,0.6522224704042885,0.0,-3.91,82.03,-3.36,13.39,2026-03-17
AMD,196.58,1.65,27496600,10.210520746439537,200.14,221.68,2,0,35808363.917,-0.31,-0.37,-3.01,-2.05,196.87,3.89,32.31,66.85,0.84,45.47,-3.53,-3.27,,0.01636,-0.03056,0.56204,0.09296,0.02171,7,0.11395796264628816,0.3370560643287916,0.0,-3.01,95.47,-3.53,12.06,2026-03-17
TSLA,395.56,1.11,58337700,7.888908854582863,403.12,436.22,2,0,63304755.367,-0.72,-0.37,-0.78,-2.02,83.49,2.94,6.07,81.69,12.24,44.06,-5.32,-4.63,,0.01108,-0.00786,0.16731,0.04654,0.02048,9,0.0767504613685584,0.04400268036631673,0.0,-0.78,94.06,-5.32,12.04,2026-03-17
HOOD,75.31,2.62,33335200,35.87859468075048,75.94,109.14,2,0,28382336.45,-0.84,-0.44,-5.09,-1.97,189.25,5.1,12.43,28.99,58.58,43.22,-2.78,-3.24,,0.02583,-0.05226,0.16492,0.09179,0.02583,6,0.5253294313476972,0.11503238775966047,0.0,-5.0,93.22,-2.78,11.4,2026-03-17
KHC,22.71,0.58,18962000,4.287200832466171,23.51,24.54,3,0,15906940.467,-1.45,-0.25,-7.08,-5.29,35.52,2.78,8.33,52.08,39.58,36.02,-0.37,-0.15,,0.00574,-0.07342,-0.15923,0.02298,0.02176,5,0.019027395637815837,0.06924279651552379,0.0,-5.0,86.02000000000001,-0.37,10.74,2026-03-17
JPM,286.16,0.96,9085900,6.463301715799838,297.64,317.52,2,0,9596016.317,-1.01,-0.46,-1.3,-3.62,55.17,2.38,3.86,62.87,33.26,37.42,-5.69,-4.19,,0.00955,-0.01305,0.09188,0.032,0.00947,3,0.05390285293587178,0.019320973866428413,0.0,-1.3,87.42,-5.69,10.69,2026-03-17
GOOGL,305.56,1.09,23661300,7.3265781527175005,305.68,328.93,0,0,34439638.517,-0.01,-0.77,-0.26,-0.2,171.58,2.2,34.89,26.77,38.34,47.97,-1.84,-1.42,,0.01079,-0.00261,0.59485,0.07938,0.0106,7,0.06773822276763128,0.3658700022336386,0.0,-0.26,97.97,-1.84,10.04,2026-03-17
